FSM,Testcases,Execution GPU,Total GPU
tsp.test,131072,12.992352,52.226169
tsp.test,1162510,447.702368,714.45806
tsp.test,16384,10.563648,14.298568
ventrilo.test,4096,1.158464,2.574425
ventrilo.test,64260,2.308672,22.198612
ventrilo.test,16384,1.245664,5.143193
ventrilo.test,256,0.36192,0.706795
rlogin.test,16384,1.038368,4.950779
rlogin.test,256,0.075552,0.498458
rlogin.test,16480,1.071104,6.133335
rlogin.test,4096,0.241312,1.53246
guildwars.test,256,0.362336,0.719297
guildwars.test,500,0.372832,0.745138
mohaa.test,10,0.05264,0.514242
tftp.test,256,0.15456,0.47597
tftp.test,4096,0.197216,1.601674
tftp.test,150400,17.905632,55.970299
tftp.test,16384,0.917696,4.836729
tftp.test,131072,11.523712,68.79179
tftp.test,65536,2.51712,17.839459
subspace.test,262144,59.923072,130.293805
subspace.test,65536,2.711296,18.64068
subspace.test,4096,0.389344,1.575553
subspace.test,641100,218.002752,382.034828
subspace.test,16384,0.566944,4.499814
subspace.test,131072,5.243264,38.378079
subspace.test,256,0.361088,0.880072
subspace.test,524288,173.416032,308.49639
doom3.test,10,0.048768,0.344947
hotline.test,65536,7.839744,27.626894
hotline.test,1048576,780.936384,1101.246678
hotline.test,256,0.362112,0.752961
hotline.test,131072,9.562432,40.103925
hotline.test,262144,91.140704,161.429047
hotline.test,16384,7.30912,11.101784
hotline.test,524288,226.089856,360.773542
hotline.test,4096,5.265696,6.637311
hotline.test,1216430,848.864448,1161.751377
ssh.test,10,0.030784,0.263302
rtp.test,524288,242.244384,378.170414
rtp.test,16384,0.566944,4.472575
rtp.test,256,0.359776,0.805761
rtp.test,1536720,883.107872,1304.334665
rtp.test,262144,108.070912,178.82138
rtp.test,1048576,674.25456,974.870837
rtp.test,65536,3.269888,28.629049
rtp.test,131072,8.956512,66.84963
rtp.test,4096,0.388224,1.729763
kugoo.test,65536,3.235456,28.4432
kugoo.test,256,0.362016,0.8235
kugoo.test,262144,49.93152,118.667581
kugoo.test,4096,0.582752,1.95095
kugoo.test,524288,143.450016,292.905617
kugoo.test,131072,6.625248,64.293503
kugoo.test,577340,317.107072,463.135893
kugoo.test,16384,0.76992,4.712131
smtp.test,4096,0.210656,1.579744
smtp.test,256,0.168672,0.662795
smtp.test,16384,0.390912,3.982149
smtp.test,19700,0.473312,4.946729
dazhihui.test,10,0.041248,0.36129
dns.test,16384,57.755904,61.875872
dns.test,4096,0.538688,1.913096
dns.test,2097152,3209.9912,3776.036383
dns.test,256,0.383424,0.847735
dns.test,1048576,1009.84704,1268.317658
dns.test,65536,59.111136,88.25889
dns.test,524288,203.507712,341.204741
dns.test,131072,129.627936,168.744359
dns.test,262144,115.065888,186.506732
dns.test,4194304,7571.577952,8756.349806
ssl.test,1475250,611.373824,1159.699164
ssl.test,4096,10.802336,12.200041
ssl.test,524288,165.143392,300.556956
ssl.test,65536,12.057504,28.317559
ssl.test,256,0.466144,0.876929
ssl.test,1048576,463.012896,724.346468
ssl.test,16384,11.251168,17.335413
ssl.test,131072,17.979296,48.381188
ssl.test,262144,61.944608,131.568551
battlefield2142.test,4096,1.134272,2.301135
battlefield2142.test,65536,4.908416,20.939093
battlefield2142.test,16384,1.478272,6.185786
battlefield2142.test,256,0.263808,0.609786
ident.test,256,0.11664,0.474153
ident.test,1680,0.424928,1.231514
soulseek.test,4096,5.962016,7.3337
soulseek.test,524288,322.111552,457.052334
soulseek.test,16384,6.355584,10.142444
soulseek.test,65536,8.3952,25.522994
soulseek.test,131072,14.28352,70.119964
soulseek.test,587430,282.024224,432.537653
soulseek.test,262144,112.338048,181.792993
soulseek.test,256,5.9296,6.379666
runesofmagic.test,65536,3.093856,31.972991
runesofmagic.test,16384,0.570528,4.516924
runesofmagic.test,256,0.363744,0.678859
runesofmagic.test,262144,76.722528,161.384768
runesofmagic.test,131072,5.617984,40.977228
runesofmagic.test,524288,199.103968,334.328292
runesofmagic.test,897140,437.685856,651.910591
runesofmagic.test,4096,0.39136,1.782703
irc.test,4096,0.285888,1.631496
irc.test,440800,168.62592,293.48548
irc.test,256,0.276064,0.684725
irc.test,16384,2.108928,6.019912
irc.test,262144,116.300704,221.40908
irc.test,131072,25.466016,79.471652
irc.test,65536,4.245664,18.960132
poco.test,256,0.26864,0.714339
poco.test,4096,0.401824,1.817623
poco.test,16384,0.5864,4.644804
poco.test,192530,11.465984,55.800506
poco.test,65536,2.473792,18.076498
poco.test,131072,5.253856,35.278232
aim.test,256,0.26304,0.561246
aim.test,131072,9.045888,43.329494
aim.test,65536,4.76768,20.942167
aim.test,16384,0.970624,4.901752
aim.test,262144,103.83904,181.673565
aim.test,1344960,603.696384,929.502429
aim.test,524288,261.7208,397.559166
aim.test,1048576,522.817344,780.63741
aim.test,4096,0.619808,2.0085
qq.test,262144,48.016704,117.018486
qq.test,4096,3.69344,5.378558
qq.test,65536,4.307808,30.461409
qq.test,131072,8.42112,38.76716
qq.test,16384,3.796224,7.7517
qq.test,256,0.363328,0.702256
qq.test,448820,160.901888,276.715434
teamfortress2.test,524288,137.837184,273.065271
teamfortress2.test,768360,209.097856,402.084627
teamfortress2.test,256,0.268544,0.556846
teamfortress2.test,262144,54.38112,125.431724
teamfortress2.test,65536,2.701984,31.57685
teamfortress2.test,4096,0.401408,1.788081
teamfortress2.test,131072,5.30528,54.258765
teamfortress2.test,16384,0.587456,4.424175
lpd.test,16384,2.383296,6.210998
lpd.test,256,0.193568,0.655741
lpd.test,824740,475.672928,674.998813
lpd.test,65536,4.282432,21.286759
lpd.test,4096,0.400608,1.776766
lpd.test,262144,127.919392,197.885717
lpd.test,524288,338.480768,474.340254
lpd.test,131072,16.393856,49.797915
biff.test,256,0.07536,0.571094
biff.test,3910,0.296992,1.817484
x11.test,256,0.257728,0.760085
x11.test,750,0.376448,0.838516
