FSM,Testcases,Execution GPU Unoptimised,Total GPU Unoptimised
aim.test,1344960,778.569728,1101.568453
aim.test,1048576,522.817344,780.63741
aim.test,524288,261.7208,397.559166
aim.test,262144,103.83904,181.673565
aim.test,131072,49.2752,89.467072
aim.test,65536,23.842528,41.48364
aim.test,16384,7.773952,11.596121
aim.test,4096,2.604608,3.887444
aim.test,256,2.033472,2.461701
ares.test,65020,14.248768,29.828433
ares.test,16384,1.817216,5.465022
ares.test,4096,0.742208,2.25078
ares.test,256,0.50352,0.848014
battlefield2.test,1476790,1037.597664,1387.723797
battlefield2.test,1048576,531.556352,964.151925
battlefield2.test,524288,159.37152,295.539967
battlefield2.test,262144,54.166496,123.828026
battlefield2.test,131072,24.90976,65.591502
battlefield2.test,65536,12.236704,27.033519
battlefield2.test,16384,2.614272,6.28468
battlefield2.test,4096,1.42368,2.698952
battlefield2.test,256,0.31456,0.488052
battlefield2142.test,193050,33.315264,86.44657
battlefield2142.test,131072,20.729568,79.120484
battlefield2142.test,65536,10.376864,26.010413
battlefield2142.test,16384,3.117632,6.776643
battlefield2142.test,4096,1.37168,2.800641
battlefield2142.test,256,0.724576,1.075907
bgp.test,64530,6.178912,21.768384
bgp.test,16384,1.697312,5.691168
bgp.test,4096,0.69728,2.008779
bgp.test,256,0.463008,0.833418
biff.test,3910,0.56864,1.840112
biff.test,256,0.19296,0.545601
counterstrike-source.test,1472460,1374.871968,1727.032344
counterstrike-source.test,1048576,873.218016,1132.11408
counterstrike-source.test,524288,253.480384,395.852102
counterstrike-source.test,262144,100.638368,174.263249
counterstrike-source.test,131072,47.993344,89.253707
counterstrike-source.test,65536,23.79392,41.406955
counterstrike-source.test,16384,7.741504,11.353282
counterstrike-source.test,4096,2.614496,3.881437
counterstrike-source.test,256,2.060128,2.452971
dayofdefeat-source.test,512320,116.6744,248.453877
dayofdefeat-source.test,262144,41.72512,129.386077
dayofdefeat-source.test,131072,19.537312,53.335659
dayofdefeat-source.test,65536,10.23248,38.917317
dayofdefeat-source.test,16384,3.05408,6.838802
dayofdefeat-source.test,4096,1.188352,2.560456
dayofdefeat-source.test,256,0.88608,1.266085
dazhihui.test,10,0.062144,0.342223
dhcp.test,384400,66.575232,168.144133
dhcp.test,262144,36.933248,126.057294
dhcp.test,131072,17.006144,52.465226
dhcp.test,65536,8.922592,25.779586
dhcp.test,16384,2.631968,6.277207
dhcp.test,4096,1.041472,2.415256
dhcp.test,256,0.713216,1.080027
dns.test,8533670,29176.21376,32660.802927
dns.test,4194304,7571.577952,8756.349806
dns.test,2097152,3209.9912,3776.036383
dns.test,1048576,1009.84704,1268.317658
dns.test,524288,203.507712,341.204741
dns.test,262144,115.065888,186.506732
dns.test,131072,111.193504,145.669023
dns.test,65536,59.42272,77.233718
dns.test,16384,56.562784,63.677428
dns.test,4096,0.681184,2.15824
dns.test,256,0.425088,0.830065
doom3.test,10,0.062912,0.506141
finger.test,11090,1.722656,4.498765
finger.test,4096,0.461248,1.776626
finger.test,256,0.250976,0.702954
ftp.test,49100,6.175744,23.232329
ftp.test,16384,1.484992,5.24949
ftp.test,4096,0.535456,1.923293
ftp.test,256,0.377856,0.875392
gopher.test,283400,96.356992,172.871058
gopher.test,262144,104.181216,189.2163
gopher.test,131072,49.032544,84.177346
gopher.test,65536,16.619392,33.248775
gopher.test,16384,4.883456,9.916993
gopher.test,4096,1.61296,3.011003
gopher.test,256,1.253472,1.680804
guildwars.test,500,0.500416,0.960459
guildwars.test,256,0.391936,0.78376
h323.test,2241830,4133.774528,4663.045104
h323.test,2097152,3213.46848,3963.498472
h323.test,1048576,534.357824,790.456206
h323.test,524288,146.616128,283.036324
h323.test,262144,42.947648,112.986959
h323.test,131072,18.351104,55.476784
h323.test,65536,8.953632,25.491908
h323.test,16384,1.283232,6.326026
h323.test,4096,0.55648,1.961846
h323.test,256,0.425248,0.67844
halflife2-deathmatch.test,1088400,731.273856,1136.754216
halflife2-deathmatch.test,1048576,802.24736,1072.066997
halflife2-deathmatch.test,524288,212.377984,346.168651
halflife2-deathmatch.test,262144,79.267808,159.459239
halflife2-deathmatch.test,131072,36.92432,73.303177
halflife2-deathmatch.test,65536,18.174912,35.089655
halflife2-deathmatch.test,16384,5.868512,9.661792
halflife2-deathmatch.test,4096,1.978208,3.355111
halflife2-deathmatch.test,256,1.565696,1.972391
hotline.test,1216430,1177.028864,1478.566709
hotline.test,1048576,780.936384,1101.246678
hotline.test,524288,226.089856,360.773542
hotline.test,262144,91.140704,161.429047
hotline.test,131072,43.182656,84.494287
hotline.test,65536,21.248992,50.314107
hotline.test,16384,6.901504,10.645438
hotline.test,4096,4.821568,6.180267
hotline.test,256,1.900768,2.254551
ident.test,1680,0.655776,1.396409
ident.test,256,0.225408,0.684446
irc.test,440800,222.193696,337.689333
irc.test,262144,116.300704,221.40908
