Fsm,No_of_testcases,No_of_threads,Time taken
counterstrike-source.test,256,8,0.255619
counterstrike-source.test,131072,1,350.32658
counterstrike-source.test,32768,32,12.265902
counterstrike-source.test,1048576,1,2788.590091
counterstrike-source.test,8192,1,26.319324
counterstrike-source.test,16384,32,6.249691
counterstrike-source.test,32768,8,14.378675
counterstrike-source.test,524288,1,1393.292925
counterstrike-source.test,8192,32,3.384655
counterstrike-source.test,1048576,32,213.837704
counterstrike-source.test,1472463,1,3912.290674
counterstrike-source.test,1048576,8,390.533945
counterstrike-source.test,1472463,8,563.074606
counterstrike-source.test,524288,16,119.950286
counterstrike-source.test,131072,8,83.295896
counterstrike-source.test,256,16,0.204636
counterstrike-source.test,524288,32,152.564558
counterstrike-source.test,4096,32,1.943338
counterstrike-source.test,4096,16,3.348617
counterstrike-source.test,16384,8,9.247844
counterstrike-source.test,4096,1,14.093582
counterstrike-source.test,262144,16,115.183329
counterstrike-source.test,8192,8,5.593042
counterstrike-source.test,65536,1,173.778334
counterstrike-source.test,1472463,16,300.245588
counterstrike-source.test,16384,1,52.686282
counterstrike-source.test,262144,32,85.743069
counterstrike-source.test,262144,1,695.801764
counterstrike-source.test,32768,1,86.64123
counterstrike-source.test,65536,8,38.391137
counterstrike-source.test,1048576,16,229.499785
counterstrike-source.test,32768,16,18.689707
counterstrike-source.test,524288,8,194.732859
counterstrike-source.test,8192,16,3.434592
counterstrike-source.test,262144,8,157.265445
counterstrike-source.test,4096,8,2.790025
counterstrike-source.test,65536,32,19.020616
counterstrike-source.test,256,1,0.822592
counterstrike-source.test,131072,32,30.504712
counterstrike-source.test,131072,16,45.619306
counterstrike-source.test,256,32,0.125016
counterstrike-source.test,1472463,32,299.053883
counterstrike-source.test,16384,16,9.76921
counterstrike-source.test,65536,16,28.778861
ntp.test,4096,8,0.561106
ntp.test,262144,8,19.338255
ntp.test,1048576,32,33.123766
ntp.test,65536,32,3.572599
ntp.test,4096,32,0.278248
ntp.test,524288,8,35.487619
ntp.test,131072,32,8.366166
ntp.test,1048576,16,44.861875
ntp.test,8192,32,0.496503
ntp.test,1374296,8,108.498454
ntp.test,65536,16,3.839323
ntp.test,4096,1,2.03497
ntp.test,256,1,0.139752
ntp.test,524288,32,21.512278
ntp.test,131072,16,7.645262
ntp.test,1374296,16,85.478369
ntp.test,16384,8,1.900525
ntp.test,524288,1,217.038812
ntp.test,32768,1,16.128552
ntp.test,131072,8,12.200739
ntp.test,32768,16,3.870543
ntp.test,524288,16,28.339418
ntp.test,16384,16,1.895706
ntp.test,262144,32,12.298447
ntp.test,131072,1,69.376497
ntp.test,256,16,0.044838
ntp.test,16384,1,8.083028
ntp.test,262144,1,108.871058
ntp.test,1048576,8,101.442584
ntp.test,262144,16,18.286651
ntp.test,4096,16,0.558662
ntp.test,65536,8,5.720851
ntp.test,1374296,32,44.567144
ntp.test,8192,1,4.045844
ntp.test,1374296,1,567.645241
ntp.test,16384,32,4.838404
ntp.test,32768,32,1.910513
ntp.test,256,32,4.450576
ntp.test,65536,1,32.231471
ntp.test,1048576,1,433.601097
ntp.test,256,8,0.045257
ntp.test,8192,8,0.957665
ntp.test,32768,8,3.385354
ntp.test,8192,16,1.098256
battlefield2.test,65536,8,9.336612
battlefield2.test,524288,8,52.241741
battlefield2.test,4096,16,0.850599
battlefield2.test,1048576,32,51.494716
battlefield2.test,16384,32,1.560118
battlefield2.test,8192,16,1.5634
battlefield2.test,1476796,8,186.698021
battlefield2.test,65536,32,8.457938
battlefield2.test,524288,32,27.738572
battlefield2.test,262144,32,15.98817
battlefield2.test,4096,1,3.179531
battlefield2.test,8192,1,8.725779
battlefield2.test,4096,32,0.392858
battlefield2.test,32768,16,3.017918
battlefield2.test,524288,16,26.406906
battlefield2.test,262144,8,32.332392
battlefield2.test,32768,1,25.282458
battlefield2.test,1476796,16,126.389455
battlefield2.test,262144,1,158.353574
battlefield2.test,524288,1,315.653451
battlefield2.test,262144,16,24.848115
battlefield2.test,1048576,16,102.054675
battlefield2.test,1476796,1,884.105088
battlefield2.test,256,16,0.057689
battlefield2.test,256,8,0.066769
battlefield2.test,1476796,32,95.25226
battlefield2.test,131072,1,77.337303
battlefield2.test,256,32,0.042673
battlefield2.test,16384,1,12.682715
battlefield2.test,131072,8,15.462125
battlefield2.test,65536,16,8.970713
battlefield2.test,16384,8,2.604317
battlefield2.test,16384,16,2.835143
battlefield2.test,256,1,0.19835
battlefield2.test,32768,8,5.247326
battlefield2.test,8192,8,1.468555
battlefield2.test,8192,32,4.685382
battlefield2.test,131072,32,9.797845
battlefield2.test,65536,1,50.469793
battlefield2.test,32768,32,2.715784
battlefield2.test,1048576,1,628.626526
battlefield2.test,4096,8,0.883354
battlefield2.test,131072,16,9.410225
battlefield2.test,1048576,8,145.44562
yahoo.test,4096,1,3.641463
yahoo.test,32768,1,27.148483
yahoo.test,2097152,16,166.594237
