Fsm,No_of_testcases,Execution Time,Total Time taken
counterstrike-source.test,65536,25.116128,27.529397
counterstrike-source.test,1048576,304.566496,352.875654
counterstrike-source.test,1472463,475.995744,544.994686
counterstrike-source.test,16384,7.26864,8.054743
counterstrike-source.test,4096,4.3624,4.734481
counterstrike-source.test,131072,43.029472,47.086745
counterstrike-source.test,262144,78.784384,91.863414
counterstrike-source.test,256,4.33216,4.472296
counterstrike-source.test,8192,5.034656,5.592762
counterstrike-source.test,32768,16.206368,17.589426
counterstrike-source.test,524288,155.578496,174.324494
ntp.test,32768,8.61408,9.951356
ntp.test,16384,4.085984,4.97257
ntp.test,8192,2.925056,3.47964
ntp.test,524288,80.893856,109.430976
ntp.test,262144,41.674912,53.117481
ntp.test,1374296,214.909856,260.123712
ntp.test,131072,22.547808,29.525186
ntp.test,65536,13.18768,15.397032
ntp.test,4096,2.592672,2.95981
ntp.test,1048576,159.859264,200.206678
ntp.test,256,2.5888,2.738483
battlefield2.test,4096,1.48768,1.87601
battlefield2.test,1048576,131.478688,169.749461
battlefield2.test,262144,34.491488,43.061503
battlefield2.test,131072,19.125248,25.861654
battlefield2.test,65536,10.603712,12.749903
battlefield2.test,16384,2.934336,3.770948
battlefield2.test,32768,6.802112,8.080095
battlefield2.test,1476796,187.795264,236.387615
battlefield2.test,8192,2.13904,2.767467
battlefield2.test,256,1.423488,1.587496
battlefield2.test,524288,66.42432,95.041338
yahoo.test,524288,106.70896,127.256888
yahoo.test,16384,4.653728,5.54534
yahoo.test,8192,3.415328,4.010924
yahoo.test,1048576,210.507104,244.796528
yahoo.test,65536,17.049504,19.434985
yahoo.test,131072,30.69088,37.008486
yahoo.test,2097152,418.279488,483.492896
yahoo.test,256,2.31696,2.486844
yahoo.test,4096,2.341696,2.760692
yahoo.test,262144,55.429696,67.110634
yahoo.test,32768,9.755232,11.142503
yahoo.test,2627405,523.232224,605.252986
h323.test,16384,5.64608,6.523329
h323.test,4096,3.4432,3.855736
h323.test,256,3.328736,3.478452
h323.test,131072,31.791712,37.848888
h323.test,8192,3.992864,4.608207
h323.test,1048576,226.997792,261.135857
h323.test,65536,18.592512,20.776569
h323.test,262144,59.224192,71.690205
h323.test,32768,11.985056,13.368558
h323.test,524288,114.641824,133.314792
h323.test,2241832,494.747296,567.954857
h323.test,2097152,450.180096,540.659428
tsp.test,1048576,132.86048,170.939774
tsp.test,65536,11.09088,13.130609
tsp.test,8192,2.327168,2.939276
tsp.test,524288,67.373952,85.458468
tsp.test,32768,7.053248,8.454585
tsp.test,262144,34.99744,43.331791
tsp.test,1162511,154.574784,222.007481
tsp.test,4096,1.938848,2.366857
tsp.test,256,1.90624,2.077992
tsp.test,131072,18.805856,22.481888
tsp.test,16384,3.258144,4.060721
hotline.test,65536,14.094048,16.225562
hotline.test,1048576,109.882592,145.420968
hotline.test,256,2.976608,3.195595
hotline.test,1216433,120.802976,161.329728
hotline.test,131072,24.02528,28.195195
hotline.test,8192,3.253056,3.797977
hotline.test,32768,8.426048,9.794214
hotline.test,262144,44.491808,52.765062
hotline.test,16384,4.438912,5.212127
hotline.test,524288,86.88944,105.591866
hotline.test,4096,3.08272,3.489139
rtp.test,1536723,222.626944,271.9559
rtp.test,524288,75.74816,93.158203
rtp.test,16384,3.659872,4.575452
rtp.test,256,2.117312,2.283116
rtp.test,262144,39.156192,48.104962
rtp.test,1048576,149.586176,185.71151
rtp.test,65536,12.459424,14.697291
rtp.test,32768,8.032224,9.359659
rtp.test,131072,21.201376,25.174693
rtp.test,8192,2.607936,3.16235
rtp.test,4096,2.125792,2.591536
dns.test,16384,5.610656,6.532409
dns.test,4096,2.750112,2.966166
dns.test,2097152,482.106528,550.951976
dns.test,8192,3.98032,4.522861
dns.test,256,2.736768,3.129316
dns.test,1048576,242.074848,276.631654
dns.test,8533671,862.075296,1119.345454
dns.test,65536,19.33136,21.259383
dns.test,524288,122.126176,139.46189
dns.test,131072,33.38624,37.586355
dns.test,32768,11.022464,12.37688
dns.test,262144,63.085344,75.054399
dns.test,4194304,827.954752,963.097663
ssl.test,4096,1.852288,2.24198
ssl.test,524288,33.538176,51.843576
ssl.test,65536,13.37488,15.677168
ssl.test,256,1.809568,2.017999
ssl.test,1048576,33.62384,68.887749
ssl.test,1475251,36.26288,84.894079
ssl.test,16384,3.666304,4.563928
ssl.test,8192,2.669024,3.252236
ssl.test,131072,23.942688,27.42268
ssl.test,32768,7.564704,8.91058
ssl.test,262144,33.575904,46.508389
aim.test,256,1.9048,2.068145
aim.test,131072,20.150272,24.065192
aim.test,65536,11.75088,14.038477
aim.test,16384,3.420256,4.310753
aim.test,262144,37.5352,45.598493
aim.test,1344963,192.028032,237.325655
aim.test,524288,72.91312,101.784737
aim.test,1048576,143.835072,181.087169
aim.test,8192,2.473984,3.137137
aim.test,32768,6.761248,8.154336
aim.test,4096,1.931072,2.303021
