Fsm,No_of_testcases,No_of_threads,Time taken
bgp.test,32768,32,1.892563
bgp.test,64536,1,26.20339
bgp.test,64536,16,6.288663
bgp.test,64536,8,6.763514
bgp.test,64536,32,6.697584
biff.test,256,1,0.033455
biff.test,256,16,0.012711
biff.test,256,8,0.012781
biff.test,256,32,4.434932
biff.test,3919,1,0.518014
biff.test,3919,16,0.100851
biff.test,3919,8,0.135283
biff.test,3919,32,4.652069
chikka.test,8,1,0.002515
chikka.test,8,16,0.016203
chikka.test,8,8,0.011454
chikka.test,8,32,0.025631
ciscovpn.test,3,16,0.01313
ciscovpn.test,3,8,0.009568
ciscovpn.test,3,32,0.020044
counterstrike-source.test,256,1,0.74877
counterstrike-source.test,256,16,0.289842
counterstrike-source.test,256,8,0.276922
counterstrike-source.test,256,32,4.495693
counterstrike-source.test,4096,1,14.603985
counterstrike-source.test,4096,16,3.104033
counterstrike-source.test,4096,8,2.873556
counterstrike-source.test,4096,32,1.714118
counterstrike-source.test,8192,1,28.638482
counterstrike-source.test,8192,16,3.490535
counterstrike-source.test,8192,8,5.239365
counterstrike-source.test,8192,32,3.358326
counterstrike-source.test,16384,1,57.108296
counterstrike-source.test,16384,16,6.940144
counterstrike-source.test,16384,8,9.635046
counterstrike-source.test,16384,32,5.808293
counterstrike-source.test,32768,1,87.509227
counterstrike-source.test,32768,16,10.534673
counterstrike-source.test,32768,8,14.458295
counterstrike-source.test,32768,32,14.448517
counterstrike-source.test,65536,1,174.89714
counterstrike-source.test,65536,16,27.040789
counterstrike-source.test,65536,8,28.815879
counterstrike-source.test,65536,32,23.393739
counterstrike-source.test,131072,1,349.415111
counterstrike-source.test,131072,16,31.813055
counterstrike-source.test,131072,8,57.545923
counterstrike-source.test,131072,32,30.706975
counterstrike-source.test,262144,1,699.391746
counterstrike-source.test,262144,16,111.720949
counterstrike-source.test,262144,8,114.726785
counterstrike-source.test,262144,32,83.952483
counterstrike-source.test,524288,1,1395.451357
counterstrike-source.test,524288,16,156.632975
counterstrike-source.test,524288,8,249.952661
counterstrike-source.test,524288,32,155.321074
counterstrike-source.test,1048576,1,2789.830718
counterstrike-source.test,1048576,16,228.358945
counterstrike-source.test,1048576,8,499.95854
counterstrike-source.test,1048576,32,215.007497
counterstrike-source.test,1472463,1,3928.051099
counterstrike-source.test,1472463,16,367.029541
counterstrike-source.test,1472463,8,550.877489
counterstrike-source.test,1472463,32,298.05686
dayofdefeat-source.test,256,1,0.681303
dayofdefeat-source.test,256,16,0.100293
dayofdefeat-source.test,256,8,0.09226
dayofdefeat-source.test,256,32,0.050845
dayofdefeat-source.test,4096,1,4.953504
dayofdefeat-source.test,4096,16,1.332505
dayofdefeat-source.test,4096,8,1.206301
dayofdefeat-source.test,4096,32,4.879542
dayofdefeat-source.test,8192,1,9.912665
dayofdefeat-source.test,8192,16,1.325311
dayofdefeat-source.test,8192,8,2.197701
dayofdefeat-source.test,8192,32,5.380445
dayofdefeat-source.test,16384,1,19.807171
dayofdefeat-source.test,16384,16,4.498208
dayofdefeat-source.test,16384,8,4.755713
dayofdefeat-source.test,16384,32,2.347371
dayofdefeat-source.test,32768,1,39.709816
dayofdefeat-source.test,32768,16,7.653295
dayofdefeat-source.test,32768,8,9.137355
dayofdefeat-source.test,32768,32,4.375217
dayofdefeat-source.test,65536,1,60.640528
dayofdefeat-source.test,65536,16,12.071255
dayofdefeat-source.test,65536,8,15.857568
dayofdefeat-source.test,65536,32,8.673608
dayofdefeat-source.test,131072,1,121.09793
dayofdefeat-source.test,131072,16,21.229493
dayofdefeat-source.test,131072,8,26.719937
dayofdefeat-source.test,131072,32,13.447619
dayofdefeat-source.test,262144,1,243.275051
dayofdefeat-source.test,262144,16,35.567241
dayofdefeat-source.test,262144,8,45.968937
dayofdefeat-source.test,262144,32,22.254695
dayofdefeat-source.test,512328,1,477.673255
dayofdefeat-source.test,512328,16,39.758217
dayofdefeat-source.test,512328,8,79.101855
dayofdefeat-source.test,512328,32,40.322605
dazhihui.test,19,16,0.012781
dazhihui.test,19,8,0.008032
dazhihui.test,19,32,4.094594
dhcp.test,256,1,0.427849
dhcp.test,256,16,0.067467
dhcp.test,256,8,0.075918
dhcp.test,256,32,0.043232
dhcp.test,4096,1,3.719336
dhcp.test,4096,16,1.047622
dhcp.test,4096,8,0.909056
dhcp.test,4096,32,0.482116
dhcp.test,8192,1,7.442444
dhcp.test,8192,16,1.897801
dhcp.test,8192,8,1.762519
dhcp.test,8192,32,3.860276
dhcp.test,16384,1,14.827267
dhcp.test,16384,16,1.862741
dhcp.test,16384,8,3.08357
dhcp.test,16384,32,2.051173
dhcp.test,32768,1,29.60837
dhcp.test,32768,16,4.648088
dhcp.test,32768,8,6.358574
dhcp.test,32768,32,3.392339
dhcp.test,65536,1,45.490313
dhcp.test,65536,16,10.559397
dhcp.test,65536,8,13.284679
dhcp.test,65536,32,6.265965
dhcp.test,131072,1,91.779196
dhcp.test,131072,16,16.529932
dhcp.test,131072,8,19.27484
dhcp.test,131072,32,15.617036
dhcp.test,262144,1,184.305695
dhcp.test,262144,16,17.934514
dhcp.test,262144,8,35.369312
dhcp.test,262144,32,15.966173
dns.test,256,1,0.188432
dns.test,256,16,0.03967
dns.test,256,8,0.052032
dns.test,256,32,0.038204
dns.test,4096,1,3.787292
dns.test,4096,16,0.701138
dns.test,4096,8,0.805551
dns.test,4096,32,4.788819
dns.test,8192,1,5.764014
dns.test,8192,16,0.966326
dns.test,8192,8,1.401927
dns.test,8192,32,4.930317
dns.test,16384,1,11.482213
dns.test,16384,16,3.014357
dns.test,16384,8,2.816286
dns.test,16384,32,5.507347
dns.test,32768,1,22.931668
dns.test,32768,16,4.840012
dns.test,32768,8,5.254661
dns.test,32768,32,2.578406
dns.test,65536,1,34.980994
dns.test,65536,16,5.424655
dns.test,65536,8,10.178831
dns.test,65536,32,4.662824
dns.test,131072,1,70.31322
dns.test,131072,16,14.846824
dns.test,131072,8,17.275839
dns.test,131072,32,11.852093
dns.test,262144,1,88.719652
dns.test,262144,16,15.252533
dns.test,262144,8,29.268522
dns.test,262144,32,15.273065
dns.test,524288,1,113.261026
dns.test,524288,16,24.149145
dns.test,524288,8,47.445735
dns.test,524288,32,19.784404
dns.test,1048576,1,110.718309
dns.test,1048576,16,48.37281
dns.test,1048576,8,72.509174
dns.test,1048576,32,45.242517
dns.test,2097152,1,140.303841
dns.test,2097152,16,74.833218
dns.test,2097152,8,92.084124
dns.test,2097152,32,54.625715
dns.test,4194304,1,216.826384
dns.test,4194304,16,103.896686
dns.test,4194304,8,100.087045
dns.test,4194304,32,84.319222
dns.test,8533671,1,319.191167
dns.test,8533671,16,151.479449
dns.test,8533671,8,115.800251
dns.test,8533671,32,121.496939
fasttrack.test,2,1,0.003352
fasttrack.test,2,16,0.010965
fasttrack.test,2,8,0.006915
fasttrack.test,2,32,0.031708
finger.test,256,1,0.069632
finger.test,256,16,0.019486
finger.test,256,8,0.020254
finger.test,256,32,4.112613
finger.test,4096,1,1.199527
finger.test,4096,16,0.234667
finger.test,4096,8,0.243607
finger.test,4096,32,4.529077
finger.test,8192,1,1.837668
finger.test,8192,16,0.461721
finger.test,8192,8,0.437906
finger.test,8192,32,4.582716
finger.test,11097,1,4.321788
finger.test,11097,16,0.598821
finger.test,11097,8,0.651481
finger.test,11097,32,0.291728
freenet.test,6,1,0.002654
freenet.test,6,16,0.022908
freenet.test,6,8,0.019835
freenet.test,6,32,4.442265
ftp.test,256,1,0.095683
ftp.test,256,16,0.028914
ftp.test,256,8,0.034991
ftp.test,256,32,4.473274
ftp.test,4096,1,1.522403
ftp.test,4096,16,0.219512
ftp.test,4096,8,0.392369
ftp.test,4096,32,0.176349
ftp.test,8192,1,3.044528
ftp.test,8192,16,0.772167
ftp.test,8192,8,0.784459
ftp.test,8192,32,0.377354
ftp.test,16384,1,6.112803
ftp.test,16384,16,0.928332
ftp.test,16384,8,1.423787
ftp.test,16384,32,0.728446
ftp.test,32768,1,12.152411
ftp.test,32768,16,2.701048
ftp.test,32768,8,2.363924
ftp.test,32768,32,1.584423
ftp.test,49106,1,20.175725
ftp.test,49106,16,3.784079
ftp.test,49106,8,4.292176
ftp.test,49106,32,2.007941
gkrellm.test,6,1,0.002375
gkrellm.test,6,16,0.019556
gkrellm.test,6,8,0.018089
gkrellm.test,6,32,0.030591
gopher.test,256,1,0.368554
gopher.test,256,16,0.03527
gopher.test,256,8,0.049657
gopher.test,256,32,0.033873
gopher.test,4096,1,2.821105
gopher.test,4096,16,0.736128
gopher.test,4096,8,0.716852
gopher.test,4096,32,4.683078
gopher.test,8192,1,5.587105
gopher.test,8192,16,1.330479
gopher.test,8192,8,1.326009
gopher.test,8192,32,4.914253
gopher.test,16384,1,11.101297
gopher.test,16384,16,2.471479
gopher.test,16384,8,2.325441
gopher.test,16384,32,3.952676
gopher.test,32768,1,22.297718
gopher.test,32768,16,4.676094
gopher.test,32768,8,3.695381
gopher.test,32768,32,2.507656
gopher.test,65536,1,34.058249
gopher.test,65536,16,7.222024
gopher.test,65536,8,8.516884
gopher.test,65536,32,7.707282
gopher.test,131072,1,68.748562
gopher.test,131072,16,9.070518
gopher.test,131072,8,17.147122
gopher.test,131072,32,9.221794
gopher.test,262144,1,138.278369
gopher.test,262144,16,21.259316
gopher.test,262144,8,27.493991
gopher.test,262144,32,16.706072
gopher.test,283403,1,149.870861
gopher.test,283403,16,15.106215
gopher.test,283403,8,30.56038
gopher.test,283403,32,14.966881
guildwars.test,509,1,0.112305
guildwars.test,509,16,0.033035
guildwars.test,509,8,0.036248
guildwars.test,509,32,0.027029
h323.test,256,1,0.233131
h323.test,256,16,0.068235
h323.test,256,8,0.070191
h323.test,256,32,4.472995
h323.test,4096,1,3.752161
h323.test,4096,16,0.989164
h323.test,4096,8,0.892434
h323.test,4096,32,0.442515
h323.test,8192,1,7.53638
h323.test,8192,16,1.829706
h323.test,8192,8,1.778792
h323.test,8192,32,5.131809
h323.test,16384,1,15.116202
h323.test,16384,16,3.400021
h323.test,16384,8,3.613735
h323.test,16384,32,5.816465
h323.test,32768,1,30.104944
h323.test,32768,16,3.45764
h323.test,32768,8,6.563559
h323.test,32768,32,4.653745
h323.test,65536,1,45.829394
h323.test,65536,16,7.36932
h323.test,65536,8,11.027055
h323.test,65536,32,6.331895
h323.test,131072,1,92.271089
h323.test,131072,16,18.71115
h323.test,131072,8,21.383144
h323.test,131072,32,10.238196
h323.test,262144,1,186.218582
h323.test,262144,16,31.082864
h323.test,262144,8,30.317401
h323.test,262144,32,16.47811
h323.test,524288,1,374.968078
h323.test,524288,16,43.976501
h323.test,524288,8,92.456449
h323.test,524288,32,33.554762
h323.test,1048576,1,748.996301
h323.test,1048576,16,61.878957
h323.test,1048576,8,123.778239
h323.test,1048576,32,59.777358
h323.test,2097152,1,1486.880967
h323.test,2097152,16,127.249848
h323.test,2097152,8,209.80697
h323.test,2097152,32,115.711763
h323.test,2241832,1,1611.76731
h323.test,2241832,16,174.889113
h323.test,2241832,8,301.51416
h323.test,2241832,32,162.742988
halflife2-deathmatch.test,256,1,0.655392
halflife2-deathmatch.test,256,16,0.175581
halflife2-deathmatch.test,256,8,0.210153
halflife2-deathmatch.test,256,32,0.119918
halflife2-deathmatch.test,4096,1,10.487949
halflife2-deathmatch.test,4096,16,2.509264
halflife2-deathmatch.test,4096,8,2.210831
halflife2-deathmatch.test,4096,32,5.462509
halflife2-deathmatch.test,8192,1,21.150782
halflife2-deathmatch.test,8192,16,4.694532
halflife2-deathmatch.test,8192,8,3.652288
halflife2-deathmatch.test,8192,32,6.021869
halflife2-deathmatch.test,16384,1,42.421621
halflife2-deathmatch.test,16384,16,7.757079
halflife2-deathmatch.test,16384,8,6.858081
halflife2-deathmatch.test,16384,32,4.471807
halflife2-deathmatch.test,32768,1,83.869932
halflife2-deathmatch.test,32768,16,11.561762
halflife2-deathmatch.test,32768,8,13.004966
halflife2-deathmatch.test,32768,32,10.706274
halflife2-deathmatch.test,65536,1,128.855711
halflife2-deathmatch.test,65536,16,17.842183
halflife2-deathmatch.test,65536,8,22.200708
halflife2-deathmatch.test,65536,32,16.4691
halflife2-deathmatch.test,131072,1,257.77931
halflife2-deathmatch.test,131072,16,35.112994
halflife2-deathmatch.test,131072,8,42.530574
halflife2-deathmatch.test,131072,32,25.347624
halflife2-deathmatch.test,262144,1,514.946039
halflife2-deathmatch.test,262144,16,49.455282
halflife2-deathmatch.test,262144,8,109.559779
halflife2-deathmatch.test,262144,32,42.204275
halflife2-deathmatch.test,524288,1,1032.130427
halflife2-deathmatch.test,524288,16,127.00673
halflife2-deathmatch.test,524288,8,209.107438
halflife2-deathmatch.test,524288,32,85.903156
halflife2-deathmatch.test,1048576,1,2058.898009
halflife2-deathmatch.test,1048576,16,218.063416
halflife2-deathmatch.test,1048576,8,292.62069
halflife2-deathmatch.test,1048576,32,162.401114
halflife2-deathmatch.test,1088409,1,2138.811702
halflife2-deathmatch.test,1088409,16,176.962636
halflife2-deathmatch.test,1088409,8,299.220915
halflife2-deathmatch.test,1088409,32,205.801144
hotline.test,256,1,0.115517
hotline.test,256,16,0.023467
hotline.test,256,8,0.036457
hotline.test,256,32,4.444011
hotline.test,4096,1,1.882506
hotline.test,4096,16,0.468287
hotline.test,4096,8,0.489379
hotline.test,4096,32,4.58551
hotline.test,8192,1,3.786104
hotline.test,8192,16,0.844104
hotline.test,8192,8,0.971145
hotline.test,8192,32,0.430573
hotline.test,16384,1,7.53247
hotline.test,16384,16,1.728436
hotline.test,16384,8,1.655871
hotline.test,16384,32,5.126012
hotline.test,32768,1,15.002081
hotline.test,32768,16,1.951579
hotline.test,32768,8,3.283665
hotline.test,32768,32,5.380934
hotline.test,65536,1,22.949268
hotline.test,65536,16,5.967253
hotline.test,65536,8,6.467178
hotline.test,65536,32,3.360979
hotline.test,131072,1,45.927382
hotline.test,131072,16,9.757408
hotline.test,131072,8,10.562959
hotline.test,131072,32,6.11385
hotline.test,262144,1,93.689149
hotline.test,262144,16,10.556953
hotline.test,262144,8,17.484944
hotline.test,262144,32,11.360758
hotline.test,524288,1,104.293455
hotline.test,524288,16,17.79986
hotline.test,524288,8,31.858452
hotline.test,524288,32,19.148777
hotline.test,1048576,1,118.59335
hotline.test,1048576,16,34.458929
hotline.test,1048576,8,63.215444
hotline.test,1048576,32,22.886901
hotline.test,1216433,1,123.375743
hotline.test,1216433,16,39.329322
hotline.test,1216433,8,57.760198
hotline.test,1216433,32,32.790836
ident.test,1689,1,0.488331
ident.test,1689,16,0.047772
ident.test,1689,8,0.055803
ident.test,1689,32,0.031079
irc.test,256,1,0.45383
irc.test,256,16,0.069562
irc.test,256,8,0.063765
irc.test,256,32,4.848393
irc.test,4096,1,3.381303
irc.test,4096,16,0.879024
irc.test,4096,8,0.858631
irc.test,4096,32,0.42722
irc.test,8192,1,6.763864
irc.test,8192,16,0.965558
irc.test,8192,8,1.859179
irc.test,8192,32,5.026977
irc.test,16384,1,13.520395
irc.test,16384,16,1.88083
irc.test,16384,8,2.981251
irc.test,16384,32,3.482085
irc.test,32768,1,27.029335
irc.test,32768,16,5.570833
irc.test,32768,8,5.924719
irc.test,32768,32,6.825464
irc.test,65536,1,41.303879
irc.test,65536,16,5.638998
irc.test,65536,8,9.765929
irc.test,65536,32,8.236262
irc.test,131072,1,82.502785
irc.test,131072,16,9.861472
irc.test,131072,8,15.994179
irc.test,131072,32,13.298159
irc.test,262144,1,167.954696
irc.test,262144,16,16.245398
irc.test,262144,8,28.759378
irc.test,262144,32,22.614309
irc.test,440804,1,282.854342
irc.test,440804,16,42.036097
irc.test,440804,8,46.51
irc.test,440804,32,25.45958
kugoo.test,256,1,0.106578
kugoo.test,256,16,0.023467
kugoo.test,256,8,0.034362
kugoo.test,256,32,0.025422
kugoo.test,4096,1,1.680525
kugoo.test,4096,16,0.433017
kugoo.test,4096,8,0.434763
kugoo.test,4096,32,0.219861
kugoo.test,8192,1,3.78366
kugoo.test,8192,16,0.799754
kugoo.test,8192,8,0.868828
kugoo.test,8192,32,0.390903
kugoo.test,16384,1,6.751014
kugoo.test,16384,16,0.889081
kugoo.test,16384,8,1.721382
kugoo.test,16384,32,0.809881
kugoo.test,32768,1,13.504122
kugoo.test,32768,16,2.98202
kugoo.test,32768,8,2.77494
kugoo.test,32768,32,1.593363
kugoo.test,65536,1,27.041698
kugoo.test,65536,16,5.475429
kugoo.test,65536,8,5.915361
kugoo.test,65536,32,6.357596
kugoo.test,131072,1,41.163568
kugoo.test,131072,16,9.723814
kugoo.test,131072,8,9.852672
kugoo.test,131072,32,5.542757
kugoo.test,262144,1,110.909255
kugoo.test,262144,16,14.858626
kugoo.test,262144,8,19.419134
kugoo.test,262144,32,13.113359
kugoo.test,524288,1,168.766882
kugoo.test,524288,16,24.544936
kugoo.test,524288,8,28.506832
kugoo.test,524288,32,14.757077
kugoo.test,577347,1,185.70839
kugoo.test,577347,16,17.541655
kugoo.test,577347,8,36.346883
kugoo.test,577347,32,19.567476
lpd.test,256,1,0.179143
lpd.test,256,16,0.054407
lpd.test,256,8,0.054477
lpd.test,256,32,4.441916
lpd.test,4096,1,3.044877
lpd.test,4096,16,0.439651
lpd.test,4096,8,0.798567
lpd.test,4096,32,0.377772
lpd.test,8192,1,6.07851
lpd.test,8192,16,0.851227
lpd.test,8192,8,1.434404
lpd.test,8192,32,4.945682
lpd.test,16384,1,12.13509
lpd.test,16384,16,2.786673
lpd.test,16384,8,2.474552
lpd.test,16384,32,1.303311
lpd.test,32768,1,24.242104
lpd.test,32768,16,4.942609
lpd.test,32768,8,5.660649
lpd.test,32768,32,4.223801
lpd.test,65536,1,37.133088
lpd.test,65536,16,5.461741
lpd.test,65536,8,8.847094
lpd.test,65536,32,5.148781
lpd.test,131072,1,74.226086
lpd.test,131072,16,14.227889
lpd.test,131072,8,15.884668
lpd.test,131072,32,12.385541
lpd.test,262144,1,150.93308
lpd.test,262144,16,23.404775
lpd.test,262144,8,24.569031
lpd.test,262144,32,17.142441
lpd.test,524288,1,302.517082
lpd.test,524288,16,65.733995
lpd.test,524288,8,49.726966
lpd.test,524288,32,26.424648
liveforspeed.test,256,1,0.194229
liveforspeed.test,256,16,0.022838
liveforspeed.test,256,8,0.03115
liveforspeed.test,256,32,0.025143
liveforspeed.test,4096,1,1.501172
liveforspeed.test,4096,16,0.407315
liveforspeed.test,4096,8,0.398096
liveforspeed.test,4096,32,0.205334
liveforspeed.test,8192,1,3.000388
liveforspeed.test,8192,16,0.738992
liveforspeed.test,8192,8,0.711615
liveforspeed.test,8192,32,4.720723
liveforspeed.test,16384,1,6.03472
liveforspeed.test,16384,16,1.44467
liveforspeed.test,16384,8,1.395991
liveforspeed.test,16384,32,0.669151
liveforspeed.test,32768,1,7.897391
liveforspeed.test,32768,16,1.654544
liveforspeed.test,32768,8,3.035169
liveforspeed.test,32768,32,1.599858
liveforspeed.test,64266,1,8.939704
liveforspeed.test,64266,16,2.98628
liveforspeed.test,64266,8,5.262901
liveforspeed.test,64266,32,6.757509
mute.test,12,1,0.002864
mute.test,12,16,0.019905
mute.test,12,8,0.016552
mute.test,12,32,4.424805
ncp.test,256,1,0.31247
ncp.test,256,16,0.047631
ncp.test,256,8,0.043721
ncp.test,256,32,0.030172
ncp.test,4096,1,2.304977
ncp.test,4096,16,0.326718
ncp.test,4096,8,0.588904
ncp.test,4096,32,4.596614
ncp.test,8192,1,4.594938
ncp.test,8192,16,1.111806
ncp.test,8192,8,1.091691
ncp.test,8192,32,0.614325
ncp.test,16384,1,9.172765
ncp.test,16384,16,2.073663
ncp.test,16384,8,2.020932
ncp.test,16384,32,1.119907
ncp.test,32768,1,18.370674
ncp.test,32768,16,2.51932
ncp.test,32768,8,4.211649
ncp.test,32768,32,5.721481
ncp.test,65536,1,28.005161
ncp.test,65536,16,7.075497
ncp.test,65536,8,8.213144
ncp.test,65536,32,3.839324
ncp.test,131072,1,56.102931
ncp.test,131072,16,7.489377
ncp.test,131072,8,14.661325
ncp.test,131072,32,7.166221
ncp.test,262144,1,115.877077
ncp.test,262144,16,12.363542
ncp.test,262144,8,19.738239
ncp.test,262144,32,17.419643
ncp.test,524288,1,228.670654
ncp.test,524288,16,33.117204
ncp.test,524288,8,49.909741
ncp.test,524288,32,21.173899
ncp.test,704611,1,308.865878
ncp.test,704611,16,42.330688
ncp.test,704611,8,52.132306
ncp.test,704611,32,30.92998
ntp.test,256,1,0.307652
ntp.test,256,16,0.04428
ntp.test,256,8,0.04407
ntp.test,256,32,0.029473
ntp.test,4096,1,2.271174
ntp.test,4096,16,0.566204
ntp.test,4096,8,0.557684
ntp.test,4096,32,4.077832
ntp.test,8192,1,4.38737
ntp.test,8192,16,1.107755
ntp.test,8192,8,1.044129
ntp.test,8192,32,0.484211
ntp.test,16384,1,8.720472
ntp.test,16384,16,1.969249
ntp.test,16384,8,1.829566
ntp.test,16384,32,5.223861
ntp.test,32768,1,17.654798
ntp.test,32768,16,2.09699
ntp.test,32768,8,3.473844
ntp.test,32768,32,2.085396
ntp.test,65536,1,26.678173
ntp.test,65536,16,6.455654
ntp.test,65536,8,7.723486
ntp.test,65536,32,3.836949
ntp.test,131072,1,69.81532
ntp.test,131072,16,9.308397
ntp.test,131072,8,11.764441
ntp.test,131072,32,7.112652
ntp.test,262144,1,142.294741
ntp.test,262144,16,22.71537
ntp.test,262144,8,22.554664
ntp.test,262144,32,13.297741
ntp.test,524288,1,216.961038
ntp.test,524288,16,31.431721
ntp.test,524288,8,37.00863
ntp.test,524288,32,19.676569
ntp.test,1048576,1,435.137387
ntp.test,1048576,16,62.421695
ntp.test,1048576,8,110.799534
ntp.test,1048576,32,34.386293
ntp.test,1374296,1,569.628744
ntp.test,1374296,16,48.572766
ntp.test,1374296,8,135.1992
ntp.test,1374296,32,45.853071
pcanywhere.test,4,16,0.020464
pcanywhere.test,4,8,0.017391
pcanywhere.test,4,32,0.022908
poco.test,256,1,0.229918
poco.test,256,16,0.034222
poco.test,256,8,0.034781
poco.test,256,32,4.753549
poco.test,4096,1,1.684576
poco.test,4096,16,0.240464
poco.test,4096,8,0.428338
poco.test,4096,32,2.015623
poco.test,8192,1,3.375228
poco.test,8192,16,0.478763
poco.test,8192,8,0.857374
