FSM,Test-Cases,Threads,Total CPU,Execution GPU,Total GPU,Speed-Up
aim.test,1024000,8,924.25072771,482.49973952,779.99573774,1.1849433054
aim.test,131072,8,27.68912123,56.42370336,95.44438455,0.2901073894
aim.test,65536,8,10.0435028,28.59836288,49.42742261,0.2031969759
aim.test,16384,8,2.63557925,8.38100768,13.89896823,0.1896240934
aim.test,4096,8,0.79573513,2.8113072,4.33568134,0.1835317376
aim.test,256,8,0.02631613,2.10197216,2.403146,0.0109506996
ares.test,16384,8,1.60844264,1.91989664,7.01339573,0.2293386402
ares.test,4096,8,0.5027371,0.8030928,2.22189414,0.2262651001
ares.test,256,8,0.0263539,0.5476064,0.95527024,0.0275879002
bgp.test,16384,8,1.90726198,1.78944704,6.47828436,0.2944084998
bgp.test,4096,8,0.65245585,0.759456,2.33484984,0.2794423174
bgp.test,256,8,0.04002114,0.49035168,0.84068367,0.0476054685
dayofdefeat-source.test,131072,8,17.02781675,22.28857984,56.92752335,0.2991139566
dayofdefeat-source.test,65536,8,7.08217685,11.43613568,30.12692807,0.2350779619
dayofdefeat-source.test,16384,8,1.6383354,3.33897728,8.38981855,0.1952766189
dayofdefeat-source.test,4096,8,0.51484546,1.30244736,2.65559029,0.1938723236
dayofdefeat-source.test,256,8,0.03186509,0.94958208,1.25544662,0.0253814774
dhcp.test,131072,8,18.41523808,18.9037872,55.87514909,0.3295783256
dhcp.test,65536,8,8.59327948,9.622936,29.83477194,0.2880289984
dhcp.test,16384,8,1.76932538,2.8061472,7.33728318,0.24114176
dhcp.test,4096,8,0.58178973,1.09655808,2.64171914,0.2202314853
dhcp.test,256,8,0.03218357,0.73622016,1.14483681,0.028111928
finger.test,4096,8,0.38400833,0.49727584,1.92447503,0.1995392634
finger.test,256,8,0.01740722,0.26249504,0.60978772,0.0285463604
ftp.test,16384,8,1.39553357,1.70794176,7.09375571,0.1967270409
ftp.test,4096,8,0.35626802,0.57390304,1.98947563,0.1790763428
ftp.test,256,8,0.02608502,0.41037408,0.76190407,0.0342366198
gopher.test,131072,8,118.50686462,57.76894464,95.98838713,1.2345958523
gopher.test,65536,8,13.18769372,19.66874112,40.7224003,0.3238437229
gopher.test,16384,8,1.71646598,5.26933088,10.30725637,0.1665298619
gopher.test,4096,8,0.4678493,1.71292288,3.12389301,0.1497648282
gopher.test,256,8,0.02284365,1.25132832,1.57060742,0.0145444684
halflife2-deathmatch.test,1024000,8,2885.3586363104,723.47531648,1000.85092467,2.8829055009
halflife2-deathmatch.test,131072,8,17.06436516,41.26201472,79.87239701,0.2136453368
halflife2-deathmatch.test,65536,8,6.91096436,21.25428192,41.13398785,0.1680110469
halflife2-deathmatch.test,16384,8,1.63602145,6.24789056,11.10286858,0.1473512397
halflife2-deathmatch.test,4096,8,0.48892881,2.08896608,3.48037318,0.1404817198
halflife2-deathmatch.test,256,8,0.03501778,1.56621504,1.90800928,0.0183530449
hotline.test,1024000,8,2616.2571949778,738.83057632,1055.71692774,2.4781805863
hotline.test,131072,8,19.76980157,48.4989808,86.23398067,0.229257671
hotline.test,65536,8,6.96642352,24.7567776,45.21704031,0.1540663315
hotline.test,16384,8,2.25793207,7.2462432,12.56257583,0.1797348013
hotline.test,4096,8,0.82558889,5.77921408,7.4269618,0.1111610524
hotline.test,256,8,0.04556584,1.92862432,2.2982026,0.0198267289
ident.test,256,8,0.02548719,0.24842368,0.62976852,0.0404707272
irc.test,131072,8,138.88114472,61.24471424,98.58008456,1.4088154351
irc.test,65536,8,17.58548632,22.20455648,41.67028558,0.422015018
irc.test,16384,8,1.77744859,6.09545664,11.08306483,0.1603751866
irc.test,4096,8,0.4444552,2.01712352,3.42646799,0.1297123456
irc.test,256,8,0.02458074,1.56525312,1.92436805,0.0127734089
kugoo.test,131072,8,21.90151731,29.20755168,66.28839192,0.330397475
kugoo.test,65536,8,8.73023887,14.79102016,33.34929606,0.2617818036
kugoo.test,16384,8,2.21398724,4.51025152,9.20854325,0.2404275226
