FSM,Test-Cases,No_of_threads,Total CPU,Execution GPU,Total GPU
dayofdefeat-source.test,4096,32,1.41062966,1.30244736,2.65559029
dayofdefeat-source.test,4096,8,0.51484546,1.30244736,2.65559029
dayofdefeat-source.test,4096,4,0.89798917,1.30244736,2.65559029
dayofdefeat-source.test,4096,1,1.96686315,1.30244736,2.65559029
dayofdefeat-source.test,256,32,0.26570828,0.94958208,1.25544662
dayofdefeat-source.test,256,8,0.03186509,0.94958208,1.25544662
dayofdefeat-source.test,256,4,0.05747239,0.94958208,1.25544662
dayofdefeat-source.test,256,1,0.07484335,0.94958208,1.25544662
dazhihui.test,19,32,0.01322515,0.12515136,0.47281843
dazhihui.test,19,8,0.01153777,0.12515136,0.47281843
dazhihui.test,19,4,0.00592816,0.12515136,0.47281843
dazhihui.test,19,1,0.00886985,0.12515136,0.47281843
dhcp.test,384400,32,86.02103105,80.46950016,183.30482674
dhcp.test,384400,8,197.0967321,80.46950016,183.30482674
dhcp.test,384400,4,343.52638513,80.46950016,183.30482674
dhcp.test,384400,1,745.67618657,80.46950016,183.30482674
dhcp.test,131072,32,9.85436638,18.9037872,55.87514909
dhcp.test,131072,8,18.41523808,18.9037872,55.87514909
dhcp.test,131072,4,33.18037185,18.9037872,55.87514909
dhcp.test,131072,1,103.72271567,18.9037872,55.87514909
dhcp.test,65536,32,4.077813,9.622936,29.83477194
dhcp.test,65536,8,8.59327948,9.622936,29.83477194
dhcp.test,65536,4,14.34936021,9.622936,29.83477194
dhcp.test,65536,1,47.69994231,9.622936,29.83477194
dhcp.test,16384,32,1.02959803,2.8061472,7.33728318
dhcp.test,16384,8,1.76932538,2.8061472,7.33728318
dhcp.test,16384,4,3.23383491,2.8061472,7.33728318
dhcp.test,16384,1,9.77755633,2.8061472,7.33728318
dhcp.test,4096,32,0.97627423,1.09655808,2.64171914
dhcp.test,4096,8,0.58178973,1.09655808,2.64171914
dhcp.test,4096,4,0.95833619,1.09655808,2.64171914
dhcp.test,4096,1,2.2824214,1.09655808,2.64171914
dhcp.test,256,32,0.07889899,0.73622016,1.14483681
dhcp.test,256,8,0.03218357,0.73622016,1.14483681
dhcp.test,256,4,0.04357818,0.73622016,1.14483681
dhcp.test,256,1,0.12527087,0.73622016,1.14483681
doom3.test,10,32,0.01312176,0.07177888,0.30610945
doom3.test,10,8,0.00651204,0.07177888,0.30610945
doom3.test,10,4,0.00668937,0.07177888,0.30610945
doom3.test,10,1,0.00495599,0.07177888,0.30610945
fasttrack.test,2,32,0.01154406,0.040048,0.1678475
fasttrack.test,2,8,0.00543157,0.040048,0.1678475
fasttrack.test,2,4,0.00383291,0.040048,0.1678475
fasttrack.test,2,1,0.00162176,0.040048,0.1678475
finger.test,11097,32,1.27693604,1.00657376,4.49997424
finger.test,11097,8,1.84606986,1.00657376,4.49997424
finger.test,11097,4,3.54189647,1.00657376,4.49997424
finger.test,11097,1,6.86122549,1.00657376,4.49997424
finger.test,4096,32,0.356092,0.49727584,1.92447503
finger.test,4096,8,0.38400833,0.49727584,1.92447503
finger.test,4096,4,0.66084449,0.49727584,1.92447503
finger.test,4096,1,1.25939469,0.49727584,1.92447503
finger.test,256,32,0.48317037,0.26249504,0.60978772
finger.test,256,8,0.01740722,0.26249504,0.60978772
finger.test,256,4,0.02933334,0.26249504,0.60978772
finger.test,256,1,0.07557106,0.26249504,0.60978772
freenet.test,6,32,0.17375397,0.04312576,0.27105052
freenet.test,6,8,0.00587791,0.04312576,0.27105052
freenet.test,6,4,0.00425545,0.04312576,0.27105052
freenet.test,6,1,0.00231733,0.04312576,0.27105052
ftp.test,49106,32,4.75983693,4.91823168,21.1888504
ftp.test,49106,8,8.34341736,4.91823168,21.1888504
ftp.test,49106,4,14.77091459,4.91823168,21.1888504
ftp.test,49106,1,37.88789749,4.91823168,21.1888504
ftp.test,16384,32,0.98818013,1.70794176,7.09375571
ftp.test,16384,8,1.39553357,1.70794176,7.09375571
ftp.test,16384,4,2.2560696,1.70794176,7.09375571
ftp.test,16384,1,6.52161172,1.70794176,7.09375571
ftp.test,4096,32,0.24412464,0.57390304,1.98947563
ftp.test,4096,8,0.35626802,0.57390304,1.98947563
ftp.test,4096,4,0.65558121,0.57390304,1.98947563
ftp.test,4096,1,1.33913457,0.57390304,1.98947563
ftp.test,256,32,0.06837603,0.41037408,0.76190407
ftp.test,256,8,0.02608502,0.41037408,0.76190407
ftp.test,256,4,0.04780635,0.41037408,0.76190407
ftp.test,256,1,0.12762022,0.41037408,0.76190407
gkrellm.test,6,32,0.52563805,0.0513856,0.29347231
gkrellm.test,6,8,0.00578144,0.0513856,0.29347231
gkrellm.test,6,4,0.00488261,0.0513856,0.29347231
gkrellm.test,6,1,0.00327564,0.0513856,0.29347231
gopher.test,283403,32,142.10256039,50367.68992,50466.605058
gopher.test,283403,8,221.25037743,50367.68992,50466.605058
gopher.test,283403,4,386.46241438,50367.68992,50466.605058
gopher.test,283403,1,1087.23898578,50367.68992,50466.605058
gopher.test,131072,32,46.73712138,57.76894464,95.98838713
gopher.test,131072,8,118.50686462,57.76894464,95.98838713
gopher.test,131072,4,213.35556016,57.76894464,95.98838713
gopher.test,131072,1,405.6784555,57.76894464,95.98838713
gopher.test,65536,32,7.48998419,19.66874112,40.7224003
gopher.test,65536,8,13.18769372,19.66874112,40.7224003
gopher.test,65536,4,22.52786836,19.66874112,40.7224003
gopher.test,65536,1,57.86097193,19.66874112,40.7224003
gopher.test,16384,32,0.98593885,5.26933088,10.30725637
gopher.test,16384,8,1.71646598,5.26933088,10.30725637
gopher.test,16384,4,2.81407968,5.26933088,10.30725637
gopher.test,16384,1,7.24637913,5.26933088,10.30725637
gopher.test,4096,32,0.22976666,1.71292288,3.12389301
gopher.test,4096,8,0.4678493,1.71292288,3.12389301
gopher.test,4096,4,0.60187041,1.71292288,3.12389301
gopher.test,4096,1,1.58911047,1.71292288,3.12389301
gopher.test,256,32,0.34756101,1.25132832,1.57060742
gopher.test,256,8,0.02284365,1.25132832,1.57060742
gopher.test,256,4,0.03999672,1.25132832,1.57060742
gopher.test,256,1,0.10310186,1.25132832,1.57060742
guildwars.test,509,32,0.04139915,0.62155776,0.97884091
guildwars.test,509,8,0.08284712,0.62155776,0.97884091
guildwars.test,509,4,0.15972143,0.62155776,0.97884091
guildwars.test,509,1,0.37065603,0.62155776,0.97884091
guildwars.test,256,32,0.3721304,0.43338976,0.75931641
guildwars.test,256,8,0.03951971,0.43338976,0.75931641
guildwars.test,256,4,0.05390352,0.43338976,0.75931641
guildwars.test,256,1,0.12227256,0.43338976,0.75931641
halflife2-deathmatch.test,1088409,32,1144.06786047,19659.355496,20038.34707575
halflife2-deathmatch.test,1088409,8,3148.5983388572,19659.355496,20038.34707575
halflife2-deathmatch.test,1088409,4,5573.8372189231,19659.355496,20038.34707575
halflife2-deathmatch.test,1088409,1,0,19659.355496,20038.34707575
halflife2-deathmatch.test,1024000,32,1011.7548548,723.47531648,1000.85092467
halflife2-deathmatch.test,1024000,8,2885.3586363104,723.47531648,1000.85092467
halflife2-deathmatch.test,1024000,4,4938.0502712857,723.47531648,1000.85092467
halflife2-deathmatch.test,1024000,1,0,723.47531648,1000.85092467
halflife2-deathmatch.test,131072,32,9.52443611,41.26201472,79.87239701
halflife2-deathmatch.test,131072,8,17.06436516,41.26201472,79.87239701
halflife2-deathmatch.test,131072,4,29.71413077,41.26201472,79.87239701
halflife2-deathmatch.test,131072,1,92.65238662,41.26201472,79.87239701
halflife2-deathmatch.test,65536,32,3.64669184,21.25428192,41.13398785
halflife2-deathmatch.test,65536,8,6.91096436,21.25428192,41.13398785
halflife2-deathmatch.test,65536,4,12.10955031,21.25428192,41.13398785
halflife2-deathmatch.test,65536,1,41.99133233,21.25428192,41.13398785
halflife2-deathmatch.test,16384,32,0.93720019,6.24789056,11.10286858
halflife2-deathmatch.test,16384,8,1.63602145,6.24789056,11.10286858
halflife2-deathmatch.test,16384,4,2.61874838,6.24789056,11.10286858
halflife2-deathmatch.test,16384,1,9.217423,6.24789056,11.10286858
halflife2-deathmatch.test,4096,32,0.34024922,2.08896608,3.48037318
halflife2-deathmatch.test,4096,8,0.48892881,2.08896608,3.48037318
halflife2-deathmatch.test,4096,4,0.89638206,2.08896608,3.48037318
halflife2-deathmatch.test,4096,1,2.01871954,2.08896608,3.48037318
halflife2-deathmatch.test,256,32,0.38608328,1.56621504,1.90800928
halflife2-deathmatch.test,256,8,0.03501778,1.56621504,1.90800928
halflife2-deathmatch.test,256,4,0.04965854,1.56621504,1.90800928
halflife2-deathmatch.test,256,1,0.10926532,1.56621504,1.90800928
hotline.test,1216433,32,1518.5946352949,120000,120000
hotline.test,1216433,8,4318.344491963,120000,120000
hotline.test,1216433,4,7492.4786218,120000,120000
hotline.test,1216433,1,13587.65942425,120000,120000
hotline.test,1024000,32,971.99911822,738.83057632,1055.71692774
hotline.test,1024000,8,2616.2571949778,738.83057632,1055.71692774
hotline.test,1024000,4,4600.08908076,738.83057632,1055.71692774
hotline.test,1024000,1,8416.5963271429,738.83057632,1055.71692774
hotline.test,131072,32,11.04992485,48.4989808,86.23398067
hotline.test,131072,8,19.76980157,48.4989808,86.23398067
hotline.test,131072,4,33.49424434,48.4989808,86.23398067
hotline.test,131072,1,102.26556501,48.4989808,86.23398067
hotline.test,65536,32,4.2085731,24.7567776,45.21704031
hotline.test,65536,8,6.96642352,24.7567776,45.21704031
hotline.test,65536,4,12.94959292,24.7567776,45.21704031
hotline.test,65536,1,45.2229314,24.7567776,45.21704031
hotline.test,16384,32,2.48693051,7.2462432,12.56257583
hotline.test,16384,8,2.25793207,7.2462432,12.56257583
hotline.test,16384,4,3.38078147,7.2462432,12.56257583
hotline.test,16384,1,8.51520058,7.2462432,12.56257583
hotline.test,4096,32,0.4868404,5.77921408,7.4269618
hotline.test,4096,8,0.82558889,5.77921408,7.4269618
hotline.test,4096,4,1.10271903,5.77921408,7.4269618
hotline.test,4096,1,2.57106895,5.77921408,7.4269618
hotline.test,256,32,0.48507207,1.92862432,2.2982026
hotline.test,256,8,0.04556584,1.92862432,2.2982026
hotline.test,256,4,0.0857957,1.92862432,2.2982026
hotline.test,256,1,0.1531591,1.92862432,2.2982026
ident.test,1689,32,0.08606332,0.6142576,1.51853782
ident.test,1689,8,0.27321138,0.6142576,1.51853782
ident.test,1689,4,0.31563784,0.6142576,1.51853782
ident.test,1689,1,0.99299068,0.6142576,1.51853782
ident.test,256,32,0.01882366,0.24842368,0.62976852
ident.test,256,8,0.02548719,0.24842368,0.62976852
ident.test,256,4,0.0393018,0.24842368,0.62976852
ident.test,256,1,0.10248785,0.24842368,0.62976852
irc.test,440804,32,352.73004085,290.8177392,410.44429423
irc.test,440804,8,782.69036299,290.8177392,410.44429423
irc.test,440804,4,1322.6007366932,290.8177392,410.44429423
irc.test,440804,1,2817.8040506,290.8177392,410.44429423
irc.test,131072,32,58.14558851,61.24471424,98.58008456
irc.test,131072,8,138.88114472,61.24471424,98.58008456
irc.test,131072,4,202.67350697,61.24471424,98.58008456
irc.test,131072,1,341.60308146,61.24471424,98.58008456
irc.test,65536,32,8.40721305,22.20455648,41.67028558
irc.test,65536,8,17.58548632,22.20455648,41.67028558
irc.test,65536,4,27.98336013,22.20455648,41.67028558
irc.test,65536,1,62.96270788,22.20455648,41.67028558
irc.test,16384,32,0.97884571,6.09545664,11.08306483
irc.test,16384,8,1.77744859,6.09545664,11.08306483
irc.test,16384,4,2.7903167,6.09545664,11.08306483
irc.test,16384,1,8.37113307,6.09545664,11.08306483
irc.test,4096,32,0.29440123,2.01712352,3.42646799
irc.test,4096,8,0.4444552,2.01712352,3.42646799
irc.test,4096,4,0.79564988,2.01712352,3.42646799
irc.test,4096,1,2.06851276,2.01712352,3.42646799
irc.test,256,32,1.11959611,1.56525312,1.92436805
irc.test,256,8,0.02458074,1.56525312,1.92436805
irc.test,256,4,0.05468293,1.56525312,1.92436805
irc.test,256,1,0.09482351,1.56525312,1.92436805
kugoo.test,577347,32,274.94324962,214.64269184,372.94856817
kugoo.test,577347,8,738.1477413,214.64269184,372.94856817
kugoo.test,577347,4,1211.9412131039,214.64269184,372.94856817
kugoo.test,577347,1,2146.7934177059,214.64269184,372.94856817
kugoo.test,131072,32,12.28473216,29.20755168,66.28839192
kugoo.test,131072,8,21.90151731,29.20755168,66.28839192
kugoo.test,131072,4,39.53088081,29.20755168,66.28839192
kugoo.test,131072,1,123.60411541,29.20755168,66.28839192
kugoo.test,65536,32,5.19451457,14.79102016,33.34929606
kugoo.test,65536,8,8.73023887,14.79102016,33.34929606
kugoo.test,65536,4,15.24962697,14.79102016,33.34929606
kugoo.test,65536,1,51.70865107,14.79102016,33.34929606
kugoo.test,16384,32,1.14451331,4.51025152,9.20854325
kugoo.test,16384,8,2.21398724,4.51025152,9.20854325
kugoo.test,16384,4,3.43704765,4.51025152,9.20854325
kugoo.test,16384,1,10.76855076,4.51025152,9.20854325
kugoo.test,4096,32,0.35472172,1.64348768,3.12497512
kugoo.test,4096,8,0.64602687,1.64348768,3.12497512
kugoo.test,4096,4,1.12598724,1.64348768,3.12497512
kugoo.test,4096,1,2.55002923,1.64348768,3.12497512
kugoo.test,256,32,0.09721624,1.2183248,1.5734051
kugoo.test,256,8,0.03311453,1.2183248,1.5734051
kugoo.test,256,4,0.05832795,1.2183248,1.5734051
kugoo.test,256,1,0.08661852,1.2183248,1.5734051
liveforspeed.test,64266,32,3.54779766,28.27637312,47.87959479
liveforspeed.test,64266,8,8.48794725,28.27637312,47.87959479
liveforspeed.test,64266,4,12.67379798,28.27637312,47.87959479
liveforspeed.test,64266,1,42.96325616,28.27637312,47.87959479
liveforspeed.test,16384,32,1.73577349,2.47155168,7.46148874
liveforspeed.test,16384,8,1.62065897,2.47155168,7.46148874
liveforspeed.test,16384,4,2.77425029,2.47155168,7.46148874
liveforspeed.test,16384,1,9.62824712,2.47155168,7.46148874
liveforspeed.test,4096,32,0.3232687,1.95659776,3.55223815
liveforspeed.test,4096,8,0.53793211,1.95659776,3.55223815
liveforspeed.test,4096,4,0.83282508,1.95659776,3.55223815
liveforspeed.test,4096,1,1.98526612,1.95659776,3.55223815
liveforspeed.test,256,32,0.02717316,0.51248064,0.82703104
liveforspeed.test,256,8,0.04588638,0.51248064,0.82703104
liveforspeed.test,256,4,0.08586982,0.51248064,0.82703104
liveforspeed.test,256,1,0.22126478,0.51248064,0.82703104
lpd.test,824740,32,807.91294287,683.0216496,905.92527115
lpd.test,824740,8,1823.1777612656,683.0216496,905.92527115
lpd.test,824740,4,3394.7625761429,683.0216496,905.92527115
lpd.test,824740,1,8269.5421630833,683.0216496,905.92527115
lpd.test,131072,32,36.32707896,61.317128,99.27196132
lpd.test,131072,8,76.47107347,61.317128,99.27196132
lpd.test,131072,4,136.40319829,61.317128,99.27196132
lpd.test,131072,1,278.07680873,61.317128,99.27196132
lpd.test,65536,32,6.19975166,25.97031264,46.05406416
lpd.test,65536,8,10.53457032,25.97031264,46.05406416
lpd.test,65536,4,17.23643186,25.97031264,46.05406416
lpd.test,65536,1,56.14854431,25.97031264,46.05406416
lpd.test,16384,32,1.20824218,7.56770816,12.11521803
lpd.test,16384,8,2.2605685,7.56770816,12.11521803
lpd.test,16384,4,3.61301043,7.56770816,12.11521803
lpd.test,16384,1,11.25146378,7.56770816,12.11521803
lpd.test,4096,32,0.30924943,2.50945216,3.93534055
lpd.test,4096,8,0.53228748,2.50945216,3.93534055
lpd.test,4096,4,0.58598571,2.50945216,3.93534055
lpd.test,4096,1,2.31609151,2.50945216,3.93534055
lpd.test,256,32,1.05327612,1.91107488,2.24911798
lpd.test,256,8,0.02927748,1.91107488,2.24911798
lpd.test,256,4,0.05100934,1.91107488,2.24911798
lpd.test,256,1,0.09144598,1.91107488,2.24911798
mohaa.test,13,32,0.35496193,0.08595584,0.33886839
mohaa.test,13,8,0.01364492,0.08595584,0.33886839
mohaa.test,13,4,0.0055636,0.08595584,0.33886839
mohaa.test,13,1,0.0055356,0.08595584,0.33886839
mute.test,12,32,0.28938868,0.07528,0.31875209
mute.test,12,8,0.00593235,0.07528,0.31875209
mute.test,12,4,0.00409057,0.07528,0.31875209
mute.test,12,1,0.00335589,0.07528,0.31875209
ncp.test,704611,32,187.50866041,780.81799072,970.5040615
ncp.test,704611,8,324.72250303,780.81799072,970.5040615
ncp.test,704611,4,606.51235674,780.81799072,970.5040615
ncp.test,704611,1,1669.8112356875,780.81799072,970.5040615
ncp.test,131072,32,14.21049813,30.62814464,69.11903158
ncp.test,131072,8,27.13165313,30.62814464,69.11903158
ncp.test,131072,4,49.30668926,30.62814464,69.11903158
ncp.test,131072,1,151.37120159,30.62814464,69.11903158
ncp.test,65536,32,5.49708707,15.46994016,35.14648448
ncp.test,65536,8,10.01813758,15.46994016,35.14648448
ncp.test,65536,4,17.59887474,15.46994016,35.14648448
ncp.test,65536,1,65.83723062,15.46994016,35.14648448
ncp.test,16384,32,1.41969217,4.78908928,9.63274643
ncp.test,16384,8,2.33475607,4.78908928,9.63274643
ncp.test,16384,4,3.99551372,4.78908928,9.63274643
ncp.test,16384,1,13.84869941,4.78908928,9.63274643
ncp.test,4096,32,0.52324663,1.83734592,3.28835961
ncp.test,4096,8,0.80122958,1.83734592,3.28835961
ncp.test,4096,4,1.3910656,1.83734592,3.28835961
ncp.test,4096,1,3.80506005,1.83734592,3.28835961
ncp.test,256,32,0.56118514,1.17159552,1.49614879
ncp.test,256,8,0.03568824,1.17159552,1.49614879
ncp.test,256,4,0.06262251,1.17159552,1.49614879
ncp.test,256,1,0.15945531,1.17159552,1.49614879
pcanywhere.test,4,32,0.07867123,0.04046624,0.28031981
pcanywhere.test,4,8,0.00516761,0.04046624,0.28031981
pcanywhere.test,4,4,0.00349696,0.04046624,0.28031981
pcanywhere.test,4,1,0.00173834,0.04046624,0.28031981
poco.test,192537,32,20.44199423,31.80749888,84.47054727
poco.test,192537,8,37.82849581,31.80749888,84.47054727
poco.test,192537,4,70.99023324,31.80749888,84.47054727
poco.test,192537,1,194.7230317,31.80749888,84.47054727
poco.test,131072,32,10.46923744,15.74532704,52.37430613
poco.test,131072,8,19.36722156,15.74532704,52.37430613
poco.test,131072,4,34.43602851,15.74532704,52.37430613
poco.test,131072,1,107.48517206,15.74532704,52.37430613
poco.test,65536,32,3.74457196,7.99263488,28.00555546
poco.test,65536,8,7.22558665,7.99263488,28.00555546
poco.test,65536,4,13.24721116,7.99263488,28.00555546
poco.test,65536,1,45.07415546,7.99263488,28.00555546
poco.test,16384,32,1.18181623,2.1948544,7.24101241
poco.test,16384,8,1.55595187,2.1948544,7.24101241
poco.test,16384,4,2.73458536,2.1948544,7.24101241
poco.test,16384,1,8.69238051,2.1948544,7.24101241
poco.test,4096,32,0.28317696,0.89137696,2.36025929
poco.test,4096,8,0.50093316,0.89137696,2.36025929
poco.test,4096,4,0.90756079,0.89137696,2.36025929
poco.test,4096,1,2.10157977,0.89137696,2.36025929
poco.test,256,32,1.19099759,0.61354944,0.95856941
poco.test,256,8,0.03231204,0.61354944,0.95856941
poco.test,256,4,0.05660982,0.61354944,0.95856941
poco.test,256,1,0.10520394,0.61354944,0.95856941
qq.test,448824,32,126.87699145,740.47896224,875.40954117
qq.test,448824,8,228.79589752,740.47896224,875.40954117
qq.test,448824,4,404.39167977,740.47896224,875.40954117
qq.test,448824,1,1075.05178687,740.47896224,875.40954117
qq.test,131072,32,17.70606094,25.33914592,63.812518
qq.test,131072,8,32.09583543,25.33914592,63.812518
qq.test,131072,4,59.82768501,25.33914592,63.812518
qq.test,131072,1,149.97721487,25.33914592,63.812518
qq.test,65536,32,5.04302109,11.95983168,31.47254536
qq.test,65536,8,8.20522228,11.95983168,31.47254536
qq.test,65536,4,14.05219118,11.95983168,31.47254536
qq.test,65536,1,42.57722253,11.95983168,31.47254536
qq.test,16384,32,1.40431174,5.16497472,11.36080387
qq.test,16384,8,1.90897223,5.16497472,11.36080387
qq.test,16384,4,2.74266533,5.16497472,11.36080387
qq.test,16384,1,9.0078109,5.16497472,11.36080387
qq.test,4096,32,0.93752623,4.22025344,6.73982594
qq.test,4096,8,1.11247508,4.22025344,6.73982594
qq.test,4096,4,1.39842549,4.22025344,6.73982594
qq.test,4096,1,2.31632559,4.22025344,6.73982594
qq.test,256,32,0.38943915,0.98672096,1.3191417
qq.test,256,8,0.04446721,0.98672096,1.3191417
qq.test,256,4,0.08588593,0.98672096,1.3191417
qq.test,256,1,0.11318757,0.98672096,1.3191417
quake-halflife.test,17,32,4.11047947,0.10665088,0.35570856
quake-halflife.test,17,8,0.006093,0.10665088,0.35570856
quake-halflife.test,17,4,0.00726349,0.10665088,0.35570856
quake-halflife.test,17,1,0.00399559,0.10665088,0.35570856
quake1.test,8,32,0.22079062,0.06260384,0.29686304
quake1.test,8,8,0.0061866,0.06260384,0.29686304
quake1.test,8,4,0.00508172,0.06260384,0.29686304
quake1.test,8,1,0.0038658,0.06260384,0.29686304
radmin.test,7,32,0.02896946,0.04892384,0.29492709
radmin.test,7,8,0.00530305,0.04892384,0.29492709
radmin.test,7,4,0.00532053,0.04892384,0.29492709
radmin.test,7,1,0.0038315,0.04892384,0.29492709
rlogin.test,16488,32,1.99442799,2.27449056,7.23568922
rlogin.test,16488,8,3.39943319,2.27449056,7.23568922
rlogin.test,16488,4,5.23078233,2.27449056,7.23568922
rlogin.test,16488,1,13.82954269,2.27449056,7.23568922
