FSM,Testcases,No_of_threads,Total CPU,Execution GPU,Total GPU
counterstrike-source.test,131072,8,23.552134,47.993344,89.253707
counterstrike-source.test,131072,4,37.859429,47.993344,89.253707
counterstrike-source.test,131072,1,92.815829,47.993344,89.253707
counterstrike-source.test,65536,32,8.602159,23.79392,41.406955
counterstrike-source.test,65536,8,10.46441,23.79392,41.406955
counterstrike-source.test,65536,4,21.293463,23.79392,41.406955
counterstrike-source.test,65536,1,52.206254,23.79392,41.406955
counterstrike-source.test,16384,32,5.236081,7.741504,11.353282
counterstrike-source.test,16384,8,2.361968,7.741504,11.353282
counterstrike-source.test,16384,4,4.388067,7.741504,11.353282
counterstrike-source.test,16384,1,13.245286,7.741504,11.353282
counterstrike-source.test,4096,32,0.282439,2.614496,3.881437
counterstrike-source.test,4096,8,0.613557,2.614496,3.881437
counterstrike-source.test,4096,4,1.147774,2.614496,3.881437
counterstrike-source.test,4096,1,3.752649,2.614496,3.881437
counterstrike-source.test,256,32,4.44408,2.060128,2.452971
counterstrike-source.test,256,8,0.03499,2.060128,2.452971
counterstrike-source.test,256,4,0.056223,2.060128,2.452971
counterstrike-source.test,256,1,0.086953,2.060128,2.452971
dayofdefeat-source.test,512320,32,205.579345,116.6744,248.453877
dayofdefeat-source.test,512320,8,478.755759,116.6744,248.453877
dayofdefeat-source.test,512320,4,714.209354,116.6744,248.453877
dayofdefeat-source.test,512320,1,1411.648035,116.6744,248.453877
dayofdefeat-source.test,131072,32,12.214846,19.537312,53.335659
dayofdefeat-source.test,131072,8,19.92513,19.537312,53.335659
dayofdefeat-source.test,131072,4,40.684305,19.537312,53.335659
dayofdefeat-source.test,131072,1,120.289209,19.537312,53.335659
dayofdefeat-source.test,65536,32,5.337352,10.23248,38.917317
dayofdefeat-source.test,65536,8,10.303076,10.23248,38.917317
dayofdefeat-source.test,65536,4,18.993724,10.23248,38.917317
dayofdefeat-source.test,65536,1,52.143746,10.23248,38.917317
dayofdefeat-source.test,16384,32,1.064732,3.05408,6.838802
dayofdefeat-source.test,16384,8,2.363573,3.05408,6.838802
dayofdefeat-source.test,16384,4,4.38639,3.05408,6.838802
dayofdefeat-source.test,16384,1,9.532307,3.05408,6.838802
dayofdefeat-source.test,4096,32,4.607998,1.188352,2.560456
dayofdefeat-source.test,4096,8,0.611601,1.188352,2.560456
dayofdefeat-source.test,4096,4,1.140231,1.188352,2.560456
dayofdefeat-source.test,4096,1,3.798186,1.188352,2.560456
dayofdefeat-source.test,256,32,3.407843,0.88608,1.266085
dayofdefeat-source.test,256,8,0.03555,0.88608,1.266085
dayofdefeat-source.test,256,4,0.061879,0.88608,1.266085
dayofdefeat-source.test,256,1,0.173695,0.88608,1.266085
dazhihui.test,10,32,4.103253,0.062144,0.342223
dazhihui.test,10,8,0.007473,0.062144,0.342223
dazhihui.test,10,4,0.006356,0.062144,0.342223
dazhihui.test,10,1,0.005098,0.062144,0.342223
dhcp.test,384400,32,108.270408,66.575232,168.144133
dhcp.test,384400,8,207.117672,66.575232,168.144133
dhcp.test,384400,4,346.176135,66.575232,168.144133
dhcp.test,384400,1,742.434437,66.575232,168.144133
dhcp.test,131072,32,14.870497,17.006144,52.465226
dhcp.test,131072,8,23.606889,17.006144,52.465226
dhcp.test,131072,4,39.980513,17.006144,52.465226
dhcp.test,131072,1,109.001229,17.006144,52.465226
dhcp.test,65536,32,9.036642,8.922592,25.779586
dhcp.test,65536,8,13.675021,8.922592,25.779586
dhcp.test,65536,4,20.776077,8.922592,25.779586
dhcp.test,65536,1,57.429834,8.922592,25.779586
dhcp.test,16384,32,5.29384,2.631968,6.277207
dhcp.test,16384,8,2.62953,2.631968,6.277207
dhcp.test,16384,4,4.640683,2.631968,6.277207
dhcp.test,16384,1,12.712605,2.631968,6.277207
dhcp.test,4096,32,0.30821,1.041472,2.415256
dhcp.test,4096,8,0.693804,1.041472,2.415256
dhcp.test,4096,4,1.276561,1.041472,2.415256
dhcp.test,4096,1,4.128885,1.041472,2.415256
dhcp.test,256,32,4.442822,0.713216,1.080027
dhcp.test,256,8,0.032267,0.713216,1.080027
dhcp.test,256,4,0.050425,0.713216,1.080027
dhcp.test,256,1,0.068654,0.713216,1.080027
dns.test,8533670,32,34085.066748,29176.21376,32660.802927
dns.test,8533670,8,87456.387608,29176.21376,32660.802927
dns.test,8533670,4,146897.785111,29176.21376,32660.802927
dns.test,8533670,1,312465.294351,29176.21376,32660.802927
dns.test,131072,32,353.469395,111.193504,145.669023
dns.test,131072,8,385.691503,111.193504,145.669023
dns.test,131072,4,477.585914,111.193504,145.669023
dns.test,131072,1,580.435441,111.193504,145.669023
dns.test,65536,32,18.504555,59.42272,77.233718
dns.test,65536,8,13.114892,59.42272,77.233718
dns.test,65536,4,22.741066,59.42272,77.233718
dns.test,65536,1,72.393219,59.42272,77.233718
dns.test,16384,32,12.623209,56.562784,63.677428
dns.test,16384,8,13.012016,56.562784,63.677428
dns.test,16384,4,14.459339,56.562784,63.677428
dns.test,16384,1,21.052859,56.562784,63.677428
dns.test,4096,32,0.362617,0.681184,2.15824
dns.test,4096,8,0.74437,0.681184,2.15824
dns.test,4096,4,1.494188,0.681184,2.15824
dns.test,4096,1,4.673438,0.681184,2.15824
dns.test,256,32,4.420404,0.425088,0.830065
dns.test,256,8,0.045747,0.425088,0.830065
dns.test,256,4,0.085486,0.425088,0.830065
dns.test,256,1,0.128089,0.425088,0.830065
doom3.test,10,32,0.018717,0.062912,0.506141
doom3.test,10,8,0.009569,0.062912,0.506141
doom3.test,10,4,0.006775,0.062912,0.506141
doom3.test,10,1,0.005937,0.062912,0.506141
finger.test,11090,32,1.384536,1.722656,4.498765
finger.test,11090,8,3.63308,1.722656,4.498765
finger.test,11090,4,5.362563,1.722656,4.498765
finger.test,11090,1,7.402771,1.722656,4.498765
finger.test,4096,32,5.123497,0.461248,1.776626
finger.test,4096,8,0.469265,0.461248,1.776626
finger.test,4096,4,0.925818,0.461248,1.776626
finger.test,4096,1,2.222144,0.461248,1.776626
finger.test,256,32,0.018229,0.250976,0.702954
finger.test,256,8,0.018089,0.250976,0.702954
finger.test,256,4,0.029054,0.250976,0.702954
finger.test,256,1,0.050077,0.250976,0.702954
ftp.test,49100,32,7.87441,6.175744,23.232329
ftp.test,49100,8,12.516769,6.175744,23.232329
ftp.test,49100,4,20.562152,6.175744,23.232329
ftp.test,49100,1,45.703036,6.175744,23.232329
ftp.test,16384,32,0.888034,1.484992,5.24949
ftp.test,16384,8,1.913865,1.484992,5.24949
ftp.test,16384,4,3.524827,1.484992,5.24949
ftp.test,16384,1,6.857868,1.484992,5.24949
ftp.test,4096,32,0.17628,0.535456,1.923293
ftp.test,4096,8,0.417023,0.535456,1.923293
ftp.test,4096,4,0.829646,0.535456,1.923293
ftp.test,4096,1,2.634907,0.535456,1.923293
ftp.test,256,32,0.022349,0.377856,0.875392
ftp.test,256,8,0.027937,0.377856,0.875392
ftp.test,256,4,0.047701,0.377856,0.875392
ftp.test,256,1,0.148553,0.377856,0.875392
gopher.test,283400,32,157.889655,96.356992,172.871058
gopher.test,283400,8,223.839509,96.356992,172.871058
gopher.test,283400,4,523.67011,96.356992,172.871058
gopher.test,283400,1,1081.609728,96.356992,172.871058
gopher.test,131072,32,58.530111,49.032544,84.177346
gopher.test,131072,8,132.20666,49.032544,84.177346
gopher.test,131072,4,273.432712,49.032544,84.177346
gopher.test,131072,1,402.824833,49.032544,84.177346
gopher.test,65536,32,11.434786,16.619392,33.248775
gopher.test,65536,8,18.439601,16.619392,33.248775
gopher.test,65536,4,35.697275,16.619392,33.248775
gopher.test,65536,1,74.8612,16.619392,33.248775
gopher.test,16384,32,3.771715,4.883456,9.916993
gopher.test,16384,8,2.574354,4.883456,9.916993
gopher.test,16384,4,4.800829,4.883456,9.916993
gopher.test,16384,1,9.108368,4.883456,9.916993
gopher.test,4096,32,0.234388,1.61296,3.011003
gopher.test,4096,8,0.559709,1.61296,3.011003
gopher.test,4096,4,1.031488,1.61296,3.011003
gopher.test,4096,1,2.439421,1.61296,3.011003
gopher.test,256,32,0.019276,1.253472,1.680804
gopher.test,256,8,0.021441,1.253472,1.680804
gopher.test,256,4,0.03946,1.253472,1.680804
gopher.test,256,1,0.056501,1.253472,1.680804
guildwars.test,500,32,4.464962,0.500416,0.960459
guildwars.test,500,8,0.08807,0.500416,0.960459
guildwars.test,500,4,0.159308,0.500416,0.960459
guildwars.test,500,1,0.311144,0.500416,0.960459
guildwars.test,256,32,4.448828,0.391936,0.78376
guildwars.test,256,8,0.029124,0.391936,0.78376
guildwars.test,256,4,0.055035,0.391936,0.78376
guildwars.test,256,1,0.076616,0.391936,0.78376
h323.test,2241830,32,4993.864134,4133.774528,4663.045104
h323.test,2241830,8,14569.762489,4133.774528,4663.045104
h323.test,2241830,4,23872.900458,4133.774528,4663.045104
h323.test,2241830,1,44156.140272,4133.774528,4663.045104
h323.test,131072,32,23.044106,18.351104,55.476784
h323.test,131072,8,39.799691,18.351104,55.476784
h323.test,131072,4,78.320724,18.351104,55.476784
h323.test,131072,1,157.338885,18.351104,55.476784
h323.test,65536,32,7.939223,8.953632,25.491908
h323.test,65536,8,11.133211,8.953632,25.491908
h323.test,65536,4,23.280589,8.953632,25.491908
h323.test,65536,1,51.634109,8.953632,25.491908
h323.test,16384,32,3.295328,1.283232,6.326026
h323.test,16384,8,2.258742,1.283232,6.326026
h323.test,16384,4,4.227431,1.283232,6.326026
h323.test,16384,1,9.09419,1.283232,6.326026
h323.test,4096,32,0.267633,0.55648,1.961846
h323.test,4096,8,0.585621,0.55648,1.961846
h323.test,4096,4,1.086733,0.55648,1.961846
h323.test,4096,1,3.192242,0.55648,1.961846
h323.test,256,32,4.451273,0.425248,0.67844
h323.test,256,8,0.032476,0.425248,0.67844
h323.test,256,4,0.053359,0.425248,0.67844
h323.test,256,1,0.075499,0.425248,0.67844
halflife2-deathmatch.test,1088400,32,1162.854373,731.273856,1136.754216
halflife2-deathmatch.test,1088400,8,3329.696661,731.273856,1136.754216
halflife2-deathmatch.test,1088400,4,6055.216863,731.273856,1136.754216
halflife2-deathmatch.test,1088400,1,10344.762983,731.273856,1136.754216
halflife2-deathmatch.test,131072,32,13.807439,36.92432,73.303177
halflife2-deathmatch.test,131072,8,19.713788,36.92432,73.303177
halflife2-deathmatch.test,131072,4,36.98166,36.92432,73.303177
halflife2-deathmatch.test,131072,1,92.718603,36.92432,73.303177
halflife2-deathmatch.test,65536,32,9.246165,18.174912,35.089655
halflife2-deathmatch.test,65536,8,10.2178,18.174912,35.089655
halflife2-deathmatch.test,65536,4,16.248187,18.174912,35.089655
halflife2-deathmatch.test,65536,1,52.098694,18.174912,35.089655
halflife2-deathmatch.test,16384,32,1.067107,5.868512,9.661792
halflife2-deathmatch.test,16384,8,2.364202,5.868512,9.661792
halflife2-deathmatch.test,16384,4,4.402872,5.868512,9.661792
halflife2-deathmatch.test,16384,1,9.500458,5.868512,9.661792
halflife2-deathmatch.test,4096,32,0.286001,1.978208,3.355111
halflife2-deathmatch.test,4096,8,0.621449,1.978208,3.355111
halflife2-deathmatch.test,4096,4,1.146726,1.978208,3.355111
halflife2-deathmatch.test,4096,1,2.196512,1.978208,3.355111
halflife2-deathmatch.test,256,32,4.434022,1.565696,1.972391
halflife2-deathmatch.test,256,8,0.034432,1.565696,1.972391
halflife2-deathmatch.test,256,4,0.056571,1.565696,1.972391
halflife2-deathmatch.test,256,1,0.079759,1.565696,1.972391
hotline.test,1216430,32,1552.850112,1177.028864,1478.566709
hotline.test,1216430,8,4226.454889,1177.028864,1478.566709
hotline.test,1216430,4,7808.428323,1177.028864,1478.566709
hotline.test,1216430,1,13559.345426,1177.028864,1478.566709
hotline.test,131072,32,14.426164,43.182656,84.494287
hotline.test,131072,8,29.210265,43.182656,84.494287
hotline.test,131072,4,42.945768,43.182656,84.494287
hotline.test,131072,1,101.01765,43.182656,84.494287
hotline.test,65536,32,8.097693,21.248992,50.314107
hotline.test,65536,8,10.074345,21.248992,50.314107
hotline.test,65536,4,19.944823,21.248992,50.314107
hotline.test,65536,1,51.922415,21.248992,50.314107
hotline.test,16384,32,3.918452,6.901504,10.645438
hotline.test,16384,8,4.141317,6.901504,10.645438
hotline.test,16384,4,5.93666,6.901504,10.645438
hotline.test,16384,1,10.396524,6.901504,10.645438
hotline.test,4096,32,4.501629,4.821568,6.180267
hotline.test,4096,8,1.053139,4.821568,6.180267
hotline.test,4096,4,1.592943,4.821568,6.180267
hotline.test,4096,1,3.625957,4.821568,6.180267
hotline.test,256,32,0.028985,1.900768,2.254551
hotline.test,256,8,0.046235,1.900768,2.254551
hotline.test,256,4,0.085346,1.900768,2.254551
hotline.test,256,1,0.128788,1.900768,2.254551
ident.test,1680,32,4.508264,0.655776,1.396409
ident.test,1680,8,0.267632,0.655776,1.396409
ident.test,1680,4,0.520179,0.655776,1.396409
ident.test,1680,1,1.054606,0.655776,1.396409
ident.test,256,32,0.0176,0.225408,0.684446
ident.test,256,8,0.025492,0.225408,0.684446
ident.test,256,4,0.040997,0.225408,0.684446
ident.test,256,1,0.052102,0.225408,0.684446
irc.test,440800,32,377.722854,222.193696,337.689333
irc.test,440800,8,745.503362,222.193696,337.689333
irc.test,440800,4,1320.975276,222.193696,337.689333
irc.test,440800,1,2822.201685,222.193696,337.689333
irc.test,131072,32,86.571371,54.246496,113.254914
irc.test,131072,8,135.601094,54.246496,113.254914
irc.test,131072,4,202.767097,54.246496,113.254914
irc.test,131072,1,371.027017,54.246496,113.254914
irc.test,65536,32,13.013482,19.353184,42.952333
irc.test,65536,8,21.452281,19.353184,42.952333
irc.test,65536,4,40.134301,19.353184,42.952333
irc.test,65536,1,77.66708,19.353184,42.952333
irc.test,16384,32,5.214081,5.785344,9.267957
irc.test,16384,8,2.551307,5.785344,9.267957
irc.test,16384,4,4.695229,5.785344,9.267957
irc.test,16384,1,10.770525,5.785344,9.267957
irc.test,4096,32,0.212388,1.919584,3.321239
irc.test,4096,8,0.531005,1.919584,3.321239
irc.test,4096,4,1.009069,1.919584,3.321239
irc.test,4096,1,1.819997,1.919584,3.321239
irc.test,256,32,4.429692,1.589888,1.994671
irc.test,256,8,0.029823,1.589888,1.994671
irc.test,256,4,0.054965,1.589888,1.994671
irc.test,256,1,0.076476,1.589888,1.994671
kugoo.test,577340,32,317.121715,1920.655232,2127.976883
kugoo.test,577340,8,685.101808,1920.655232,2127.976883
kugoo.test,577340,4,1207.571528,1920.655232,2127.976883
kugoo.test,577340,1,2141.104273,1920.655232,2127.976883
kugoo.test,131072,32,15.541811,24.308832,60.559355
kugoo.test,131072,8,26.708196,24.308832,60.559355
kugoo.test,131072,4,49.073165,24.308832,60.559355
kugoo.test,131072,1,119.621518,24.308832,60.559355
kugoo.test,65536,32,8.691555,12.105952,28.905896
kugoo.test,65536,8,11.573002,12.105952,28.905896
kugoo.test,65536,4,20.353466,12.105952,28.905896
kugoo.test,65536,1,63.392052,12.105952,28.905896
kugoo.test,16384,32,1.356111,4.099808,7.602867
kugoo.test,16384,8,3.006044,4.099808,7.602867
kugoo.test,16384,4,5.340075,4.099808,7.602867
kugoo.test,16384,1,12.19529,4.099808,7.602867
kugoo.test,4096,32,0.414439,1.5168,2.797428
kugoo.test,4096,8,0.807576,1.5168,2.797428
kugoo.test,4096,4,1.490137,1.5168,2.797428
kugoo.test,4096,1,4.656397,1.5168,2.797428
kugoo.test,256,32,0.025352,1.133472,1.514931
kugoo.test,256,8,0.033244,1.133472,1.514931
kugoo.test,256,4,0.058387,1.133472,1.514931
kugoo.test,256,1,0.161823,1.133472,1.514931
liveforspeed.test,64260,32,7.880416,7.253664,25.053093
liveforspeed.test,64260,8,9.697481,7.253664,25.053093
liveforspeed.test,64260,4,16.845959,7.253664,25.053093
liveforspeed.test,64260,1,38.229514,7.253664,25.053093
liveforspeed.test,16384,32,3.961335,1.563072,5.492678
liveforspeed.test,16384,8,2.450037,1.563072,5.492678
liveforspeed.test,16384,4,4.477742,1.563072,5.492678
liveforspeed.test,16384,1,9.26174,1.563072,5.492678
liveforspeed.test,4096,32,4.615959,1.018848,2.419935
liveforspeed.test,4096,8,0.60322,1.018848,2.419935
liveforspeed.test,4096,4,1.059005,1.018848,2.419935
liveforspeed.test,4096,1,2.167598,1.018848,2.419935
liveforspeed.test,256,32,0.029682,0.464256,1.006275
liveforspeed.test,256,8,0.045467,0.464256,1.006275
liveforspeed.test,256,4,0.085066,0.464256,1.006275
liveforspeed.test,256,1,0.275525,0.464256,1.006275
lpd.test,824740,32,851.036908,568.380448,776.06236
lpd.test,824740,8,1992.550823,568.380448,776.06236
lpd.test,824740,4,3369.821624,568.380448,776.06236
lpd.test,824740,1,8240.226954,568.380448,776.06236
lpd.test,131072,32,39.728451,52.15024,111.198985
lpd.test,131072,8,82.261871,52.15024,111.198985
lpd.test,131072,4,153.312241,52.15024,111.198985
lpd.test,131072,1,272.574905,52.15024,111.198985
lpd.test,65536,32,8.751129,21.578912,38.18691
lpd.test,65536,8,13.196186,21.578912,38.18691
lpd.test,65536,4,22.363011,21.578912,38.18691
lpd.test,65536,1,69.867744,21.578912,38.18691
lpd.test,16384,32,1.514791,6.984768,10.642085
lpd.test,16384,8,3.516934,6.984768,10.642085
lpd.test,16384,4,6.091778,6.984768,10.642085
lpd.test,16384,1,11.647942,6.984768,10.642085
lpd.test,4096,32,0.275873,2.32224,3.737633
lpd.test,4096,8,0.63877,2.32224,3.737633
lpd.test,4096,4,1.171519,2.32224,3.737633
lpd.test,4096,1,2.174652,2.32224,3.737633
lpd.test,256,32,0.020114,1.804512,2.22361
lpd.test,256,8,0.027448,1.804512,2.22361
lpd.test,256,4,0.050565,1.804512,2.22361
lpd.test,256,1,0.070889,1.804512,2.22361
mohaa.test,10,32,0.016971,0.062688,0.415976
mohaa.test,10,8,0.008172,0.062688,0.415976
mohaa.test,10,4,0.006845,0.062688,0.415976
mohaa.test,10,1,0.005797,0.062688,0.415976
mute.test,10,32,0.015156,0.058624,0.322248
mute.test,10,8,0.006635,0.058624,0.322248
mute.test,10,4,0.00461,0.058624,0.322248
mute.test,10,1,0.002724,0.058624,0.322248
ncp.test,704610,32,213.271793,482.588832,661.768353
ncp.test,704610,8,334.003294,482.588832,661.768353
ncp.test,704610,4,579.610614,482.588832,661.768353
ncp.test,704610,1,1668.071734,482.588832,661.768353
ncp.test,131072,32,21.081142,25.693408,67.222082
ncp.test,131072,8,30.834077,25.693408,67.222082
ncp.test,131072,4,61.70908,25.693408,67.222082
ncp.test,131072,1,152.59022,25.693408,67.222082
ncp.test,65536,32,8.070874,12.755968,48.771167
ncp.test,65536,8,14.716843,12.755968,48.771167
ncp.test,65536,4,21.648674,12.755968,48.771167
ncp.test,65536,1,78.957395,12.755968,48.771167
ncp.test,16384,32,1.829775,4.28048,8.132195
ncp.test,16384,8,3.669678,4.28048,8.132195
ncp.test,16384,4,6.548401,4.28048,8.132195
ncp.test,16384,1,17.73958,4.28048,8.132195
ncp.test,4096,32,4.711641,1.726752,3.028464
ncp.test,4096,8,1.063405,1.726752,3.028464
ncp.test,4096,4,1.961077,1.726752,3.028464
ncp.test,4096,1,3.728065,1.726752,3.028464
ncp.test,256,32,0.021791,1.167712,1.589451
ncp.test,256,8,0.035549,1.167712,1.589451
ncp.test,256,4,0.057969,1.167712,1.589451
ncp.test,256,1,0.063486,1.167712,1.589451
ntp.test,1374290,32,1441.532662,1262.651552,1621.014552
ntp.test,1374290,8,3763.51029,1262.651552,1621.014552
ntp.test,1374290,4,6540.031484,1262.651552,1621.014552
ntp.test,1374290,1,13240.973177,1262.651552,1621.014552
ntp.test,131072,32,14.081636,50.166976,99.38084
ntp.test,131072,8,22.380192,50.166976,99.38084
ntp.test,131072,4,42.415669,50.166976,99.38084
ntp.test,131072,1,100.173541,50.166976,99.38084
ntp.test,65536,32,5.591713,24.617024,53.813229
ntp.test,65536,8,10.069456,24.617024,53.813229
ntp.test,65536,4,20.627522,24.617024,53.813229
ntp.test,65536,1,50.601851,24.617024,53.813229
ntp.test,16384,32,5.129642,8.063072,11.690336
ntp.test,16384,8,2.271941,8.063072,11.690336
ntp.test,16384,4,4.210809,8.063072,11.690336
ntp.test,16384,1,10.505685,8.063072,11.690336
ntp.test,4096,32,0.281042,2.70256,4.048777
ntp.test,4096,8,0.596935,2.70256,4.048777
ntp.test,4096,4,1.090573,2.70256,4.048777
ntp.test,4096,1,3.068971,2.70256,4.048777
ntp.test,256,32,4.137964,2.100704,2.47511
ntp.test,256,8,0.031708,2.100704,2.47511
ntp.test,256,4,0.056572,2.100704,2.47511
ntp.test,256,1,0.081924,2.100704,2.47511
poco.test,192530,32,28.023378,24.015392,70.138869
poco.test,192530,8,46.345994,24.015392,70.138869
poco.test,192530,4,89.905107,24.015392,70.138869
poco.test,192530,1,241.192576,24.015392,70.138869
poco.test,131072,32,12.576274,13.963104,48.451503
poco.test,131072,8,22.967069,13.963104,48.451503
poco.test,131072,4,43.457493,13.963104,48.451503
poco.test,131072,1,106.349757,13.963104,48.451503
poco.test,65536,32,5.513281,7.1744,23.846792
poco.test,65536,8,10.516441,7.1744,23.846792
poco.test,65536,4,19.281259,7.1744,23.846792
poco.test,65536,1,40.68004,7.1744,23.846792
poco.test,16384,32,1.064453,2.040224,5.792996
poco.test,16384,8,2.364621,2.040224,5.792996
poco.test,16384,4,4.398403,2.040224,5.792996
poco.test,16384,1,9.538451,2.040224,5.792996
